Time,u,v,w,p,q,r,X,Y,Z,phi,theta,psi,a_x,a_y,a_z,p_dot,q_dot,r_dot
0,1,0,0,0,0,0,0,0,0,0,0,0,-0.0159,-1.77E-08,-1.25E-05,-3.57E-07,0.000109,-7.02E-08
0.1,0.99841,-1.77E-09,-1.25E-06,-3.57E-08,1.09E-05,-7.02E-09,0.1,0,0,0,0,0,-0.0159,-2.03E-08,-2.46E-05,-2.99E-07,0.000102,-6.38E-08
0.2,0.99682,-3.10E-09,-2.62E-06,-6.56E-08,2.11E-05,-1.34E-08,0.19984,-1.77E-10,0,-3.57E-09,1.09E-06,-7.02E-10,-0.0158,-2.25E-08,-3.59E-05,-2.45E-07,9.60E-05,-5.70E-08
0.3,0.99524,-4.01E-09,-4.11E-06,-9.01E-08,3.07E-05,-1.91E-08,0.29952,-5.57E-10,-1.08E-07,-1.01E-08,3.19E-06,-2.04E-09,-0.0158,-2.45E-08,-4.65E-05,-1.99E-07,9.10E-05,-5.10E-08
0.4,0.99366,-4.56E-09,-5.70E-06,-1.10E-07,3.98E-05,-2.42E-08,0.39905,-1.16E-09,-4.26E-07,-1.92E-08,6.27E-06,-3.95E-09,-0.0158,-2.60E-08,-5.63E-05,-1.50E-07,8.50E-05,-4.60E-08
0.5,0.99208,-4.76E-09,-7.38E-06,-1.25E-07,4.83E-05,-2.88E-08,0.49841,-2.01E-09,-1.05E-06,-3.01E-08,1.02E-05,-6.37E-09,-0.0157,-2.75E-08,-6.55E-05,-1.10E-07,8.00E-05,-4.10E-08
0.6,0.99051,-4.65E-09,-9.14E-06,-1.36E-07,5.63E-05,-3.29E-08,0.59762,-3.12E-09,-2.07E-06,-4.26E-08,1.51E-05,-9.25E-09,-0.0156,-2.86E-08,-7.44E-05,-7.00E-08,7.50E-05,-3.70E-08
0.7,0.98895,-4.25E-09,-1.10E-05,-1.43E-07,6.38E-05,-3.66E-08,0.69667,-4.50E-09,-3.56E-06,-5.61E-08,2.07E-05,-1.25E-08,-0.0156,-2.98E-08,-8.21E-05,-3.00E-08,7.00E-05,-3.20E-08
0.8,0.98739,-3.61E-09,-1.29E-05,-1.46E-07,7.08E-05,-3.98E-08,0.79557,-6.16E-09,-5.61E-06,-7.04E-08,2.71E-05,-1.62E-08,-0.0156,-3.05E-08,-8.89E-05,-1.00E-08,6.50E-05,-2.80E-08
0.9,0.98583,-2.73E-09,-1.48E-05,-1.47E-07,7.73E-05,-4.26E-08,0.89431,-8.13E-09,-8.28E-06,-8.50E-08,3.42E-05,-2.02E-08,-0.0155,-3.12E-08,-9.62E-05,2.00E-08,6.10E-05,-2.50E-08
1,0.98428,-1.65E-09,-1.68E-05,-1.45E-07,8.34E-05,-4.51E-08,0.99289,-1.04E-08,-1.16E-05,-9.97E-08,4.19E-05,-2.45E-08,-0.0154,-3.19E-08,-0.00010209,4.00E-08,5.70E-05,-2.10E-08
1.1,0.98274,-3.96E-10,-1.88E-05,-1.41E-07,8.91E-05,-4.72E-08,1.0913,-1.30E-08,-1.58E-05,-1.14E-07,5.02E-05,-2.90E-08,-0.0154,-3.22E-08,-0.00010856,7.00E-08,5.20E-05,-1.80E-08
1.2,0.9812,1.02E-09,-2.09E-05,-1.34E-07,9.43E-05,-4.90E-08,1.1896,-1.58E-08,-2.07E-05,-1.28E-07,5.91E-05,-3.37E-08,-0.0154,-3.27E-08,-0.00011253,8.00E-08,4.90E-05,-1.50E-08
1.3,0.97966,2.56E-09,-2.29E-05,-1.26E-07,9.92E-05,-5.05E-08,1.2877,-1.91E-08,-2.65E-05,-1.42E-07,6.86E-05,-3.86E-08,-0.0153,-3.28E-08,-0.00011818,9.00E-08,4.50E-05,-1.30E-08
1.4,0.97813,4.23E-09,-2.50E-05,-1.17E-07,0.0001037,-5.18E-08,1.3857,-2.26E-08,-3.32E-05,-1.54E-07,7.85E-05,-4.36E-08,-0.0153,-3.32E-08,-0.00012243,1.10E-07,4.15E-05,-1.00E-08
1.5,0.9766,5.98E-09,-2.71E-05,-1.06E-07,0.00010785,-5.28E-08,1.4835,-2.64E-08,-4.09E-05,-1.66E-07,8.89E-05,-4.88E-08,-0.0152,-3.32E-08,-0.00012633,1.18E-07,3.81E-05,-8.00E-09
1.6,0.97508,7.82E-09,-2.92E-05,-9.42E-08,0.00011166,-5.36E-08,1.5811,-3.06E-08,-4.96E-05,-1.76E-07,9.96E-05,-5.41E-08,-0.0152,-3.33E-08,-0.00012988,1.23E-07,3.49E-05,-5.00E-09
1.7,0.97356,9.72E-09,-3.13E-05,-8.19E-08,0.00011515,-5.41E-08,1.6787,-3.51E-08,-5.93E-05,-1.86E-07,0.0001108,-5.95E-08,-0.0152,-3.29E-08,-0.00013311,1.28E-07,3.18E-05,-4.00E-09
1.8,0.97204,1.17E-08,-3.34E-05,-6.91E-08,0.00011833,-5.45E-08,1.776,-3.99E-08,-7.01E-05,-1.94E-07,0.00012232,-6.49E-08,-0.0151,-3.40E-08,-0.00013602,1.31E-07,2.89E-05,-2.00E-09
1.9,0.97053,1.36E-08,-3.55E-05,-5.60E-08,0.00012122,-5.47E-08,1.8732,-4.50E-08,-8.20E-05,-2.01E-07,0.00013415,-7.03E-08,-0.015,-3.31E-08,-0.00013765,1.33E-07,2.61E-05,-1.00E-09
2,0.96903,1.56E-08,-3.75E-05,-4.27E-08,0.00012383,-5.48E-08,1.9703,-5.05E-08,-9.50E-05,-2.07E-07,0.00014627,-7.58E-08,-0.015,-3.31E-08,-0.00014099,1.32E-07,2.34E-05,1.00E-09
2.1,0.96753,1.76E-08,-3.96E-05,-2.95E-08,0.00012617,-5.47E-08,2.0672,-5.63E-08,-0.00010916,-2.11E-07,0.00015865,-8.13E-08,-0.015,-3.29E-08,-0.00014207,1.30E-07,2.09E-05,3.00E-09
2.2,0.96603,1.96E-08,-4.16E-05,-1.65E-08,0.00012826,-5.44E-08,2.1639,-6.24E-08,-0.00012451,-2.14E-07,0.00017127,-8.68E-08,-0.0149,-3.26E-08,-0.0001439,1.27E-07,1.84E-05,3.00E-09
2.3,0.96454,2.16E-08,-4.36E-05,-3.76E-09,0.0001301,-5.41E-08,2.2605,-6.88E-08,-0.00014106,-2.15E-07,0.0001841,-9.22E-08,-0.0149,-3.22E-08,-0.00014549,1.23E-07,1.62E-05,5.00E-09
2.4,0.96305,2.36E-08,-4.56E-05,8.58E-09,0.00013172,-5.36E-08,2.357,-7.55E-08,-0.00015882,-2.16E-07,0.00019711,-9.76E-08,-0.0148,-3.26E-08,-0.00014585,1.18E-07,1.40E-05,6.00E-09
2.5,0.96157,2.55E-08,-4.75E-05,2.04E-08,0.00013312,-5.30E-08,2.4533,-8.26E-08,-0.0001778,-2.15E-07,0.00021028,-1.03E-07,-0.0148,-3.20E-08,-0.000147,1.13E-07,1.19E-05,7.00E-09
2.6,0.96009,2.74E-08,-4.94E-05,3.17E-08,0.00013431,-5.23E-08,2.5494,-8.99E-08,-0.00019802,-2.13E-07,0.00022359,-1.08E-07,-0.0148,-3.22E-08,-0.00014795,1.06E-07,9.90E-06,7.00E-09
2.7,0.95861,2.92E-08,-5.13E-05,4.23E-08,0.0001353,-5.16E-08,2.6455,-9.76E-08,-0.00021948,-2.10E-07,0.00023702,-1.14E-07,-0.0147,-3.15E-08,-0.0001477,9.90E-08,8.10E-06,9.00E-09
2.8,0.95714,3.10E-08,-5.31E-05,5.22E-08,0.00013611,-5.07E-08,2.7413,-1.06E-07,-0.00024221,-2.06E-07,0.00025055,-1.19E-07,-0.0147,-3.15E-08,-0.00014828,9.20E-08,6.30E-06,9.00E-09
2.9,0.95567,3.27E-08,-5.49E-05,6.14E-08,0.00013674,-4.98E-08,2.837,-1.14E-07,-0.00026619,-2.00E-07,0.00026416,-1.24E-07,-0.0146,-3.06E-08,-0.00014868,8.40E-08,4.60E-06,9.00E-09
3,0.95421,3.44E-08,-5.67E-05,6.98E-08,0.0001372,-4.89E-08,2.9326,-1.22E-07,-0.00029143,-1.94E-07,0.00027784,-1.29E-07,-0.0146,-3.07E-08,-0.00014792,7.70E-08,3.00E-06,1.10E-08
3.1,0.95275,3.60E-08,-5.84E-05,7.75E-08,0.0001375,-4.78E-08,3.028,-1.31E-07,-0.00031794,-1.87E-07,0.00029156,-1.34E-07,-0.0145,-3.05E-08,-0.000147,6.80E-08,1.50E-06,1.10E-08
3.2,0.9513,3.75E-08,-6.00E-05,8.43E-08,0.00013765,-4.67E-08,3.1233,-1.40E-07,-0.00034572,-1.79E-07,0.00030531,-1.38E-07,-0.0145,-2.94E-08,-0.00014795,6.00E-08,1.00E-07,1.10E-08
3.3,0.94985,3.90E-08,-6.17E-05,9.03E-08,0.00013766,-4.56E-08,3.2184,-1.50E-07,-0.00037477,-1.71E-07,0.00031907,-1.43E-07,-0.0145,-2.93E-08,-0.00014576,5.20E-08,-1.20E-06,1.20E-08
3.4,0.9484,4.04E-08,-6.32E-05,9.55E-08,0.00013754,-4.44E-08,3.3134,-1.59E-07,-0.00040507,-1.62E-07,0.00033284,-1.48E-07,-0.0144,-2.91E-08,-0.00014644,4.40E-08,-2.50E-06,1.20E-08
3.5,0.94696,4.17E-08,-6.48E-05,9.99E-08,0.00013729,-4.32E-08,3.4082,-1.69E-07,-0.00043664,-1.52E-07,0.00034659,-1.52E-07,-0.0143,-2.89E-08,-0.00014401,3.10E-08,-3.70E-06,1.20E-08
3.6,0.94553,4.29E-08,-6.62E-05,1.03E-07,0.00013692,-4.20E-08,3.5029,-1.80E-07,-0.00046946,-1.43E-07,0.00036032,-1.56E-07,-0.0144,-2.77E-08,-0.00014446,3.00E-08,-4.90E-06,1.30E-08
3.7,0.94409,4.41E-08,-6.77E-05,1.06E-07,0.00013643,-4.07E-08,3.5975,-1.90E-07,-0.00050353,-1.32E-07,0.00037401,-1.61E-07,-0.0143,-2.84E-08,-0.0001418,2.00E-08,-5.90E-06,1.30E-08
3.8,0.94266,4.51E-08,-6.90E-05,1.08E-07,0.00013584,-3.94E-08,3.6919,-2.01E-07,-0.00053884,-1.22E-07,0.00038766,-1.65E-07,-0.0142,-2.71E-08,-0.00014205,2.00E-08,-6.90E-06,1.30E-08
3.9,0.94124,4.61E-08,-7.04E-05,1.10E-07,0.00013515,-3.81E-08,3.7862,-2.12E-07,-0.00057538,-1.11E-07,0.00040124,-1.69E-07,-0.0142,-2.69E-08,-0.00014021,1.00E-08,-7.80E-06,1.40E-08
4,0.93982,4.70E-08,-7.17E-05,1.11E-07,0.00013437,-3.67E-08,3.8803,-2.23E-07,-0.00061315,-9.97E-08,0.00041475,-1.72E-07,-0.0142,-2.65E-08,-0.00013828,0,-8.70E-06,1.30E-08
4.1,0.9384,4.78E-08,-7.29E-05,1.11E-07,0.0001335,-3.54E-08,3.9743,-2.35E-07,-0.00065213,-8.86E-08,0.00042819,-1.76E-07,-0.0141,-2.52E-08,-0.00013728,-1.00E-08,-9.50E-06,1.40E-08
4.2,0.93699,4.86E-08,-7.41E-05,1.10E-07,0.00013255,-3.40E-08,4.0681,-2.46E-07,-0.00069231,-7.76E-08,0.00044154,-1.80E-07,-0.0141,-2.49E-08,-0.0001352,-1.00E-08,-1.03E-05,1.40E-08
4.3,0.93558,4.93E-08,-7.52E-05,1.09E-07,0.00013152,-3.26E-08,4.1618,-2.58E-07,-0.00073368,-6.66E-08,0.0004548,-1.83E-07,-0.0141,-2.45E-08,-0.00013405,-2.00E-08,-1.10E-05,1.40E-08
4.4,0.93417,4.99E-08,-7.63E-05,1.07E-07,0.00013042,-3.12E-08,4.2554,-2.71E-07,-0.00077623,-5.57E-08,0.00046795,-1.86E-07,-0.014,-2.41E-08,-0.00013183,-2.00E-08,-1.16E-05,1.30E-08
4.5,0.93277,5.04E-08,-7.73E-05,1.05E-07,0.00012926,-2.99E-08,4.3488,-2.83E-07,-0.00081995,-4.49E-08,0.00048099,-1.89E-07,-0.014,-2.39E-08,-0.00013057,-2.00E-08,-1.23E-05,1.40E-08
4.6,0.93137,5.08E-08,-7.83E-05,1.03E-07,0.00012803,-2.85E-08,4.4421,-2.96E-07,-0.00086481,-3.44E-08,0.00049392,-1.92E-07,-0.0139,-2.25E-08,-0.00012924,-3.00E-08,-1.28E-05,1.40E-08
4.7,0.92998,5.12E-08,-7.93E-05,1.00E-07,0.00012675,-2.71E-08,4.5352,-3.09E-07,-0.00091081,-2.41E-08,0.00050672,-1.95E-07,-0.0139,-2.22E-08,-0.00012687,-3.20E-08,-1.34E-05,1.40E-08
4.8,0.92859,5.15E-08,-8.02E-05,9.68E-08,0.00012541,-2.57E-08,4.6282,-3.22E-07,-0.00095794,-1.41E-08,0.0005194,-1.98E-07,-0.0138,-2.19E-08,-0.00012445,-3.50E-08,-1.38E-05,1.40E-08
4.9,0.92721,5.17E-08,-8.10E-05,9.33E-08,0.00012403,-2.43E-08,4.7211,-3.35E-07,-0.0010062,-4.40E-09,0.00053194,-2.01E-07,-0.0139,-2.05E-08,-0.000123,-3.80E-08,-1.43E-05,1.40E-08
5,0.92582,5.19E-08,-8.18E-05,8.95E-08,0.0001226,-2.29E-08,4.8138,-3.48E-07,-0.0010555,4.93E-09,0.00054434,-2.03E-07,-0.0137,-2.02E-08,-0.00012151,-4.00E-08,-1.47E-05,1.30E-08
5.1,0.92445,5.20E-08,-8.26E-05,8.55E-08,0.00012113,-2.16E-08,4.9064,-3.62E-07,-0.0011059,1.39E-08,0.0005566,-2.05E-07,-0.0138,-1.90E-08,-0.00011898,-4.20E-08,-1.51E-05,1.40E-08
5.2,0.92307,5.21E-08,-8.33E-05,8.13E-08,0.00011962,-2.02E-08,4.9988,-3.76E-07,-0.0011573,2.24E-08,0.00056871,-2.07E-07,-0.0137,-1.86E-08,-0.00011642,-4.40E-08,-1.54E-05,1.30E-08
5.3,0.9217,5.21E-08,-8.39E-05,7.69E-08,0.00011808,-1.89E-08,5.0911,-3.90E-07,-0.0012098,3.06E-08,0.00058067,-2.09E-07,-0.0136,-1.84E-08,-0.00011483,-4.40E-08,-1.58E-05,1.40E-08
5.4,0.92034,5.20E-08,-8.45E-05,7.25E-08,0.0001165,-1.75E-08,5.1833,-4.04E-07,-0.0012634,3.82E-08,0.00059248,-2.11E-07,-0.0137,-1.71E-08,-0.00011322,-4.60E-08,-1.60E-05,1.30E-08
5.5,0.91897,5.19E-08,-8.51E-05,6.79E-08,0.0001149,-1.62E-08,5.2753,-4.18E-07,-0.0013179,4.55E-08,0.00060413,-2.13E-07,-0.0135,-1.69E-08,-0.00011059,-4.60E-08,-1.62E-05,1.30E-08
5.6,0.91762,5.17E-08,-8.56E-05,6.33E-08,0.00011328,-1.49E-08,5.3672,-4.32E-07,-0.0013734,5.23E-08,0.00061562,-2.15E-07,-0.0136,-1.57E-08,-0.00010895,-4.60E-08,-1.65E-05,1.30E-08
5.7,0.91626,5.15E-08,-8.61E-05,5.87E-08,0.00011163,-1.36E-08,5.459,-4.47E-07,-0.0014299,5.86E-08,0.00062695,-2.16E-07,-0.0135,-1.55E-08,-0.00010728,-4.50E-08,-1.66E-05,1.30E-08
5.8,0.91491,5.12E-08,-8.66E-05,5.42E-08,0.00010997,-1.23E-08,5.5506,-4.61E-07,-0.0014873,6.45E-08,0.00063811,-2.18E-07,-0.0135,-1.42E-08,-0.00010461,-4.60E-08,-1.69E-05,1.20E-08
5.9,0.91356,5.09E-08,-8.70E-05,4.96E-08,0.00010828,-1.11E-08,5.6421,-4.76E-07,-0.0015457,6.99E-08,0.00064911,-2.19E-07,-0.0134,-1.41E-08,-0.00010192,-4.50E-08,-1.69E-05,1.26E-08
6,0.91222,5.05E-08,-8.73E-05,4.51E-08,0.00010659,-9.84E-09,5.7335,-4.91E-07,-0.001605,7.49E-08,0.00065994,-2.20E-07,-0.0134,-1.30E-08,-0.00010123,-4.40E-08,-1.71E-05,1.22E-08
6.1,0.91088,5.01E-08,-8.77E-05,4.07E-08,0.00010488,-8.62E-09,5.8247,-5.06E-07,-0.0016652,7.94E-08,0.0006706,-2.21E-07,-0.0134,-1.18E-08,-9.75E-05,-4.30E-08,-1.72E-05,1.19E-08
6.2,0.90954,4.97E-08,-8.79E-05,3.64E-08,0.00010316,-7.43E-09,5.9158,-5.21E-07,-0.0017263,8.34E-08,0.00068108,-2.22E-07,-0.0133,-1.18E-08,-9.68E-05,-4.20E-08,-1.73E-05,1.18E-08
6.3,0.90821,4.92E-08,-8.82E-05,3.22E-08,0.00010143,-6.25E-09,6.0067,-5.36E-07,-0.0017883,8.71E-08,0.0006914,-2.22E-07,-0.0133,-1.07E-08,-9.41E-05,-4.10E-08,-1.73E-05,1.14E-08
6.4,0.90688,4.87E-08,-8.84E-05,2.81E-08,9.97E-05,-5.11E-09,6.0975,-5.52E-07,-0.001851,9.03E-08,0.00070154,-2.23E-07,-0.0133,-9.63E-09,-9.24E-05,-3.90E-08,-1.70E-05,1.13E-08
6.5,0.90555,4.82E-08,-8.86E-05,2.42E-08,9.80E-05,-3.98E-09,6.1882,-5.67E-07,-0.0019147,9.31E-08,0.00071151,-2.24E-07,-0.0132,-9.60E-09,-8.97E-05,-3.80E-08,-1.80E-05,1.10E-08
6.6,0.90423,4.76E-08,-8.87E-05,2.04E-08,9.62E-05,-2.88E-09,6.2788,-5.83E-07,-0.0019791,9.55E-08,0.00072131,-2.24E-07,-0.0132,-8.60E-09,-8.80E-05,-3.60E-08,-1.70E-05,1.08E-08
6.7,0.90291,4.70E-08,-8.88E-05,1.68E-08,9.45E-05,-1.80E-09,6.3692,-5.98E-07,-0.0020443,9.76E-08,0.00073093,-2.24E-07,-0.0131,-7.62E-09,-8.53E-05,-3.40E-08,-1.80E-05,1.05E-08
6.8,0.9016,4.64E-08,-8.88E-05,1.34E-08,9.27E-05,-7.48E-10,6.4595,-6.14E-07,-0.0021103,9.92E-08,0.00074038,-2.24E-07,-0.0131,-6.67E-09,-8.46E-05,-3.20E-08,-1.70E-05,1.03E-08
6.9,0.90029,4.58E-08,-8.89E-05,1.02E-08,9.10E-05,2.80E-10,6.5497,-6.29E-07,-0.0021771,1.01E-07,0.00074965,-2.25E-07,-0.0131,-6.75E-09,-8.19E-05,-3.08E-08,-1.70E-05,1.00E-08
7,0.89898,4.51E-08,-8.89E-05,7.12E-09,8.93E-05,1.28E-09,6.6397,-6.45E-07,-0.0022446,1.02E-07,0.00075875,-2.25E-07,-0.013,-5.85E-09,-7.93E-05,-2.87E-08,-1.70E-05,9.80E-09
7.1,0.89768,4.44E-08,-8.88E-05,4.25E-09,8.76E-05,2.26E-09,6.7296,-6.60E-07,-0.0023128,1.02E-07,0.00076768,-2.24E-07,-0.013,-4.97E-09,-7.86E-05,-2.67E-08,-1.80E-05,9.50E-09
7.2,0.89638,4.37E-08,-8.88E-05,1.58E-09,8.58E-05,3.21E-09,6.8194,-6.76E-07,-0.0023817,1.03E-07,0.00077644,-2.24E-07,-0.013,-4.12E-09,-7.59E-05,-2.49E-08,-1.70E-05,9.20E-09
7.3,0.89508,4.30E-08,-8.87E-05,-9.10E-10,8.41E-05,4.13E-09,6.909,-6.92E-07,-0.0024513,1.03E-07,0.00078502,-2.24E-07,-0.0129,-3.30E-09,-7.43E-05,-2.30E-08,-1.70E-05,9.00E-09
7.4,0.89379,4.23E-08,-8.86E-05,-3.21E-09,8.24E-05,5.03E-09,6.9985,-7.08E-07,-0.0025216,1.03E-07,0.00079343,-2.23E-07,-0.0129,-3.50E-09,-7.16E-05,-2.11E-08,-1.70E-05,8.70E-09
7.5,0.8925,4.15E-08,-8.84E-05,-5.32E-09,8.07E-05,5.90E-09,7.0879,-7.23E-07,-0.0025925,1.02E-07,0.00080167,-2.23E-07,-0.0129,-2.73E-09,-7.00E-05,-1.93E-08,-1.70E-05,8.40E-09
7.6,0.89121,4.07E-08,-8.82E-05,-7.25E-09,7.90E-05,6.74E-09,7.1771,-7.39E-07,-0.002664,1.02E-07,0.00080974,-2.22E-07,-0.0128,-9.94E-10,-6.84E-05,-1.74E-08,-1.60E-05,8.20E-09
7.7,0.88993,4.00E-08,-8.80E-05,-8.99E-09,7.74E-05,7.56E-09,7.2662,-7.55E-07,-0.0027362,1.01E-07,0.00081765,-2.22E-07,-0.0128,-1.27E-09,-6.69E-05,-1.61E-08,-1.70E-05,7.90E-09
7.8,0.88865,3.92E-08,-8.78E-05,-1.06E-08,7.57E-05,8.35E-09,7.3552,-7.71E-07,-0.0028089,1.00E-07,0.00082538,-2.21E-07,-0.0128,-5.81E-10,-6.53E-05,-1.40E-08,-1.70E-05,7.70E-09
7.9,0.88737,3.84E-08,-8.76E-05,-1.20E-08,7.40E-05,9.12E-09,7.4441,-7.86E-07,-0.0028823,9.93E-08,0.00083295,-2.20E-07,-0.0127,9.18E-11,-6.27E-05,-1.20E-08,-1.60E-05,7.40E-09
8,0.8861,3.76E-08,-8.73E-05,-1.32E-08,7.24E-05,9.86E-09,7.5328,-8.02E-07,-0.0029562,9.81E-08,0.00084036,-2.19E-07,-0.0127,-2.64E-10,-6.12E-05,-1.10E-08,-1.60E-05,7.40E-09
8.1,0.88483,3.67E-08,-8.70E-05,-1.43E-08,7.08E-05,1.06E-08,7.6215,-8.18E-07,-0.0030307,9.68E-08,0.0008476,-2.18E-07,-0.0126,1.38E-09,-5.96E-05,-9.00E-09,-1.60E-05,7.00E-09
8.2,0.88357,3.59E-08,-8.67E-05,-1.52E-08,6.92E-05,1.13E-08,7.7099,-8.33E-07,-0.0031057,9.53E-08,0.00085468,-2.17E-07,-0.0127,1.98E-09,-5.71E-05,-8.00E-09,-1.60E-05,6.00E-09
8.3,0.8823,3.51E-08,-8.63E-05,-1.60E-08,6.76E-05,1.19E-08,7.7983,-8.49E-07,-0.0031812,9.38E-08,0.0008616,-2.16E-07,-0.0126,1.50E-09,-5.66E-05,-7.00E-09,-1.60E-05,7.00E-09
8.4,0.88104,3.42E-08,-8.60E-05,-1.67E-08,6.60E-05,1.26E-08,7.8865,-8.64E-07,-0.0032572,9.22E-08,0.00086836,-2.15E-07,-0.0125,3.10E-09,-5.41E-05,-5.00E-09,-1.50E-05,6.00E-09
8.5,0.87979,3.34E-08,-8.56E-05,-1.72E-08,6.45E-05,1.32E-08,7.9746,-8.80E-07,-0.0033337,9.05E-08,0.00087496,-2.14E-07,-0.0125,3.61E-09,-5.27E-05,-4.00E-09,-1.60E-05,6.00E-09
8.6,0.87854,3.26E-08,-8.52E-05,-1.76E-08,6.29E-05,1.38E-08,8.0626,-8.95E-07,-0.0034107,8.88E-08,0.00088141,-2.12E-07,-0.0125,3.12E-09,-5.03E-05,-3.00E-09,-1.50E-05,5.00E-09
8.7,0.87729,3.17E-08,-8.47E-05,-1.79E-08,6.14E-05,1.43E-08,8.1505,-9.11E-07,-0.0034881,8.71E-08,0.0008877,-2.11E-07,-0.0125,4.54E-09,-4.99E-05,-2.00E-09,-1.50E-05,6.00E-09
8.8,0.87604,3.09E-08,-8.43E-05,-1.81E-08,5.99E-05,1.49E-08,8.2382,-9.26E-07,-0.003566,8.53E-08,0.00089384,-2.09E-07,-0.0124,4.05E-09,-4.75E-05,-1.00E-09,-1.50E-05,5.00E-09
8.9,0.8748,3.00E-08,-8.38E-05,-1.82E-08,5.84E-05,1.54E-08,8.3258,-9.41E-07,-0.0036443,8.35E-08,0.00089983,-2.08E-07,-0.0124,4.47E-09,-4.71E-05,-1.00E-09,-1.50E-05,5.00E-09
9,0.87356,2.91E-08,-8.34E-05,-1.83E-08,5.69E-05,1.59E-08,8.4133,-9.57E-07,-0.003723,8.16E-08,0.00090567,-2.06E-07,-0.0124,5.89E-09,-4.47E-05,1.00E-09,-1.40E-05,4.00E-09
9.1,0.87232,2.83E-08,-8.29E-05,-1.82E-08,5.55E-05,1.63E-08,8.5006,-9.72E-07,-0.0038021,7.98E-08,0.00091137,-2.05E-07,-0.0123,5.22E-09,-4.34E-05,1.00E-09,-1.40E-05,5.00E-09
9.2,0.87109,2.74E-08,-8.24E-05,-1.81E-08,5.41E-05,1.68E-08,8.5879,-9.87E-07,-0.0038816,7.80E-08,0.00091692,-2.03E-07,-0.0123,6.63E-09,-4.11E-05,2.00E-09,-1.40E-05,4.00E-09
9.3,0.86986,2.66E-08,-8.18E-05,-1.79E-08,5.27E-05,1.72E-08,8.675,-1.00E-06,-0.0039615,7.62E-08,0.00092232,-2.02E-07,-0.0122,5.96E-09,-4.08E-05,3.00E-09,-1.40E-05,4.00E-09
9.4,0.86864,2.57E-08,-8.13E-05,-1.76E-08,5.13E-05,1.76E-08,8.762,-1.02E-06,-0.0040417,7.44E-08,0.00092759,-2.00E-07,-0.0123,7.29E-09,-3.96E-05,3.00E-09,-1.40E-05,4.00E-09
9.5,0.86741,2.49E-08,-8.08E-05,-1.73E-08,4.99E-05,1.80E-08,8.8488,-1.03E-06,-0.0041223,7.26E-08,0.00093272,-1.98E-07,-0.0122,6.61E-09,-3.73E-05,3.00E-09,-1.40E-05,3.00E-09
9.6,0.86619,2.40E-08,-8.02E-05,-1.70E-08,4.85E-05,1.83E-08,8.9356,-1.05E-06,-0.0042032,7.09E-08,0.00093771,-1.96E-07,-0.0121,7.85E-09,-3.60E-05,4.00E-09,-1.30E-05,4.00E-09
9.7,0.86498,2.32E-08,-7.96E-05,-1.66E-08,4.72E-05,1.87E-08,9.0222,-1.06E-06,-0.0042844,6.92E-08,0.00094256,-1.94E-07,-0.0122,8.17E-09,-3.48E-05,4.00E-09,-1.30E-05,3.00E-09
9.8,0.86376,2.24E-08,-7.90E-05,-1.62E-08,4.59E-05,1.90E-08,9.1087,-1.08E-06,-0.004366,6.76E-08,0.00094728,-1.93E-07,-0.0121,7.41E-09,-3.36E-05,4.00E-09,-1.30E-05,3.00E-09
9.9,0.86255,2.15E-08,-7.84E-05,-1.58E-08,4.46E-05,1.93E-08,9.1951,-1.09E-06,-0.0044478,6.59E-08,0.00095187,-1.91E-07,-0.012,8.65E-09,-3.25E-05,5.00E-09,-1.30E-05,3.00E-09
10,0.86135,2.07E-08,-7.78E-05,-1.53E-08,4.33E-05,1.96E-08,9.2813,-1.10E-06,-0.0045299,6.44E-08,0.00095633,-1.89E-07,-0.0121,8.88E-09,-3.13E-05,4.00E-09,-1.20E-05,2.00E-09
10.1,0.86014,1.99E-08,-7.72E-05,-1.49E-08,4.21E-05,1.98E-08,9.3674,-1.12E-06,-0.0046123,6.28E-08,0.00096066,-1.87E-07,-0.012,8.03E-09,-3.02E-05,5.00E-09,-1.30E-05,3.00E-09
10.2,0.85894,1.90E-08,-7.66E-05,-1.44E-08,4.08E-05,2.01E-08,9.4535,-1.13E-06,-0.0046949,6.13E-08,0.00096486,-1.85E-07,-0.012,9.26E-09,-2.90E-05,5.00E-09,-1.20E-05,2.00E-09
10.3,0.85774,1.82E-08,-7.60E-05,-1.39E-08,3.96E-05,2.03E-08,9.5393,-1.15E-06,-0.0047778,5.99E-08,0.00096895,-1.83E-07,-0.0119,9.41E-09,-2.70E-05,4.00E-09,-1.20E-05,2.00E-09
10.4,0.85655,1.74E-08,-7.53E-05,-1.35E-08,3.84E-05,2.05E-08,9.6251,-1.16E-06,-0.0048609,5.85E-08,0.00097291,-1.81E-07,-0.0119,9.56E-09,-2.69E-05,5.00E-09,-1.20E-05,2.00E-09
10.5,0.85536,1.66E-08,-7.47E-05,-1.30E-08,3.72E-05,2.07E-08,9.7108,-1.17E-06,-0.0049442,5.72E-08,0.00097675,-1.79E-07,-0.0119,9.71E-09,-2.48E-05,5.00E-09,-1.10E-05,2.00E-09
10.6,0.85417,1.58E-08,-7.40E-05,-1.25E-08,3.61E-05,2.09E-08,9.7963,-1.19E-06,-0.0050278,5.59E-08,0.00098047,-1.77E-07,-0.0119,9.85E-09,-2.38E-05,4.00E-09,-1.20E-05,2.00E-09
