t,u,v,w,p,q,r,X,Y,Z,phi,theta,psi,u_dot,v_dot,w_dot,p_dot,q_dot,r_dot
22.4,0.92422,0.10066,-0.0018385,-0.00012979,-0.00091721,-0.032166,21.409,-2.8492,-0.32432,0.0082146,-0.0077224,-0.51655,-0.0039754,0.001192,-9.12E-05,-3.96E-05,1.72E-05,-8.85E-05
22.5,0.92383,0.10078,-0.0018476,-0.00013372,-0.00091544,-0.032175,21.495,-2.8861,-0.32858,0.0082265,-0.0077876,-0.51976,-0.0039656,0.0011729,-9.10E-05,-3.93E-05,1.77E-05,-8.59E-05
22.6,0.92343,0.10089,-0.0018567,-0.00013763,-0.00091361,-0.032183,21.58,-2.9232,-0.33287,0.0082382,-0.0078527,-0.52298,-0.0039557,0.001154,-9.07E-05,-3.90E-05,1.82E-05,-8.33E-05
22.7,0.92304,0.10101,-0.0018657,-0.0001415,-0.00091174,-0.032191,21.665,-2.9606,-0.33718,0.0082497,-0.0079176,-0.5262,-0.0039458,0.0011354,-9.05E-05,-3.88E-05,1.87E-05,-8.08E-05
22.8,0.92264,0.10112,-0.0018748,-0.00014535,-0.00090982,-0.032199,21.75,-2.9982,-0.34153,0.008261,-0.0079822,-0.52942,-0.0039359,0.0011169,-9.02E-05,-3.85E-05,1.92E-05,-7.83E-05
22.9,0.92225,0.10123,-0.0018838,-0.00014917,-0.00090785,-0.032206,21.835,-3.0361,-0.3459,0.0082722,-0.0080466,-0.53264,-0.0039259,0.0010987,-9.00E-05,-3.82E-05,1.97E-05,-7.58E-05
23,0.92186,0.10134,-0.0018927,-0.00015296,-0.00090584,-0.032214,21.919,-3.0742,-0.3503,0.0082832,-0.0081107,-0.53586,-0.0039159,0.0010808,-8.97E-05,-3.79E-05,2.01E-05,-7.34E-05
23.1,0.92147,0.10144,-0.0019017,-0.00015673,-0.00090378,-0.032221,22.004,-3.1125,-0.35473,0.0082941,-0.0081746,-0.53909,-0.0039058,0.001063,-8.95E-05,-3.77E-05,2.06E-05,-7.10E-05
23.2,0.92108,0.10155,-0.0019106,-0.00016047,-0.00090168,-0.032228,22.088,-3.1511,-0.35918,0.0083047,-0.0082382,-0.54231,-0.0038957,0.0010455,-8.93E-05,-3.74E-05,2.10E-05,-6.86E-05
23.3,0.92069,0.10165,-0.0019195,-0.00016418,-0.00089953,-0.032234,22.172,-3.19,-0.36367,0.0083152,-0.0083016,-0.54553,-0.0038856,0.0010282,-8.90E-05,-3.71E-05,2.15E-05,-6.63E-05
23.4,0.9203,0.10175,-0.0019284,-0.00016787,-0.00089735,-0.032241,22.256,-3.229,-0.36818,0.0083256,-0.0083648,-0.54876,-0.0038755,0.0010111,-8.87E-05,-3.68E-05,2.19E-05,-6.40E-05
23.5,0.91992,0.10185,-0.0019372,-0.00017152,-0.00089512,-0.032247,22.34,-3.2684,-0.37272,0.0083358,-0.0084277,-0.55198,-0.0038653,0.00099416,-8.85E-05,-3.66E-05,2.23E-05,-6.17E-05
23.6,0.91953,0.10195,-0.0019461,-0.00017515,-0.00089285,-0.032253,22.423,-3.3079,-0.37728,0.0083458,-0.0084903,-0.55521,-0.0038551,0.00097748,-8.82E-05,-3.63E-05,2.27E-05,-5.95E-05
23.7,0.91915,0.10205,-0.0019549,-0.00017876,-0.00089055,-0.032259,22.507,-3.3477,-0.38188,0.0083557,-0.0085527,-0.55843,-0.0038448,0.00096101,-8.80E-05,-3.60E-05,2.30E-05,-5.73E-05
23.8,0.91876,0.10214,-0.0019636,-0.00018233,-0.0008882,-0.032264,22.59,-3.3878,-0.3865,0.0083654,-0.0086148,-0.56166,-0.0038345,0.00094474,-8.77E-05,-3.58E-05,2.34E-05,-5.52E-05
23.9,0.91838,0.10223,-0.0019724,-0.00018588,-0.00088583,-0.032269,22.674,-3.4281,-0.39115,0.008375,-0.0086766,-0.56489,-0.0038242,0.00092867,-8.75E-05,-3.55E-05,2.38E-05,-5.30E-05
24,0.918,0.10232,-0.0019811,-0.0001894,-0.00088341,-0.032275,22.757,-3.4686,-0.39583,0.0083844,-0.0087382,-0.56811,-0.0038139,0.00091281,-8.72E-05,-3.52E-05,2.41E-05,-5.09E-05
24.1,0.91762,0.10241,-0.0019898,-0.0001929,-0.00088097,-0.032279,22.839,-3.5094,-0.40053,0.0083937,-0.0087994,-0.57134,-0.0038036,0.00089714,-8.69E-05,-3.49E-05,2.45E-05,-4.89E-05
24.2,0.91724,0.1025,-0.0019985,-0.00019636,-0.00087848,-0.032284,22.922,-3.5504,-0.40526,0.0084028,-0.0088604,-0.57457,-0.0037932,0.00088167,-8.67E-05,-3.47E-05,2.48E-05,-4.68E-05
24.3,0.91686,0.10259,-0.0020071,-0.0001998,-0.00087597,-0.032289,23.005,-3.5916,-0.41002,0.0084117,-0.0089212,-0.5778,-0.0037828,0.00086639,-8.64E-05,-3.44E-05,2.51E-05,-4.48E-05
24.4,0.91648,0.10267,-0.0020157,-0.00020322,-0.00087343,-0.032293,23.087,-3.6331,-0.41481,0.0084206,-0.0089816,-0.58103,-0.0037724,0.00085131,-8.61E-05,-3.41E-05,2.54E-05,-4.29E-05
24.5,0.91611,0.10276,-0.0020243,-0.00020661,-0.00087085,-0.032297,23.169,-3.6748,-0.41962,0.0084293,-0.0090417,-0.58426,-0.0037619,0.00083641,-8.59E-05,-3.39E-05,2.57E-05,-4.09E-05
24.6,0.91573,0.10284,-0.0020329,-0.00020997,-0.00086825,-0.032301,23.251,-3.7168,-0.42447,0.0084378,-0.0091016,-0.58749,-0.0037514,0.0008217,-8.56E-05,-3.36E-05,2.60E-05,-3.90E-05
24.7,0.91536,0.10292,-0.0020414,-0.0002133,-0.00086562,-0.032305,23.333,-3.7589,-0.42933,0.0084462,-0.0091612,-0.59072,-0.0037409,0.00080717,-8.53E-05,-3.33E-05,2.63E-05,-3.71E-05
24.8,0.91499,0.103,-0.0020499,-0.00021661,-0.00086296,-0.032308,23.415,-3.8014,-0.43423,0.0084545,-0.0092204,-0.59395,-0.0037304,0.00079283,-8.50E-05,-3.31E-05,2.66E-05,-3.52E-05
24.9,0.91461,0.10308,-0.0020584,-0.00021989,-0.00086027,-0.032311,23.497,-3.844,-0.43915,0.0084626,-0.0092794,-0.59718,-0.0037199,0.00077867,-8.48E-05,-3.28E-05,2.69E-05,-3.34E-05
25,0.91424,0.10315,-0.0020668,-0.00022314,-0.00085756,-0.032315,23.578,-3.8869,-0.4441,0.0084706,-0.0093381,-0.60042,-0.0037094,0.00076469,-8.45E-05,-3.25E-05,2.71E-05,-3.16E-05
25.1,0.91387,0.10323,-0.0020752,-0.00022637,-0.00085482,-0.032318,23.659,-3.9301,-0.44908,0.0084785,-0.0093965,-0.60365,-0.0036988,0.00075088,-8.42E-05,-3.23E-05,2.74E-05,-2.98E-05
25.2,0.9135,0.1033,-0.0020836,-0.00022957,-0.00085206,-0.03232,23.74,-3.9735,-0.45408,0.0084862,-0.0094546,-0.60688,-0.0036882,0.00073725,-8.39E-05,-3.20E-05,2.76E-05,-2.81E-05
25.3,0.91314,0.10337,-0.002092,-0.00023275,-0.00084928,-0.032323,23.821,-4.0171,-0.45911,0.0084938,-0.0095123,-0.61011,-0.0036777,0.0007238,-8.36E-05,-3.18E-05,2.78E-05,-2.64E-05
25.4,0.91277,0.10345,-0.0021003,-0.0002359,-0.00084647,-0.032325,23.902,-4.0609,-0.46416,0.0085013,-0.0095698,-0.61335,-0.003667,0.00071051,-8.33E-05,-3.15E-05,2.81E-05,-2.47E-05
25.5,0.9124,0.10352,-0.0021086,-0.00023903,-0.00084364,-0.032328,23.983,-4.105,-0.46925,0.0085087,-0.009627,-0.61658,-0.0036564,0.00069739,-8.31E-05,-3.12E-05,2.83E-05,-2.30E-05
25.6,0.91204,0.10358,-0.0021169,-0.00024213,-0.00084079,-0.03233,24.063,-4.1493,-0.47435,0.0085159,-0.0096838,-0.61981,-0.0036458,0.00068444,-8.28E-05,-3.10E-05,2.85E-05,-2.13E-05
25.7,0.91168,0.10365,-0.0021252,-0.0002452,-0.00083792,-0.032332,24.143,-4.1938,-0.47949,0.008523,-0.0097404,-0.62305,-0.0036352,0.00067165,-8.25E-05,-3.07E-05,2.87E-05,-1.97E-05
25.8,0.91131,0.10372,-0.0021334,-0.00024825,-0.00083504,-0.032334,24.224,-4.2386,-0.48465,0.00853,-0.0097966,-0.62628,-0.0036245,0.00065903,-8.22E-05,-3.05E-05,2.89E-05,-1.81E-05
25.9,0.91095,0.10378,-0.0021416,-0.00025127,-0.00083213,-0.032335,24.303,-4.2836,-0.48984,0.0085368,-0.0098525,-0.62951,-0.0036138,0.00064656,-8.19E-05,-3.02E-05,2.91E-05,-1.65E-05
26,0.91059,0.10385,-0.0021497,-0.00025427,-0.00082921,-0.032337,24.383,-4.3289,-0.49505,0.0085436,-0.0099081,-0.63275,-0.0036032,0.00063426,-8.16E-05,-3.00E-05,2.92E-05,-1.50E-05
26.1,0.91023,0.10391,-0.0021578,-0.00025724,-0.00082626,-0.032338,24.463,-4.3743,-0.50029,0.0085502,-0.0099634,-0.63598,-0.0035925,0.00062211,-8.13E-05,-2.97E-05,2.94E-05,-1.34E-05
26.2,0.90987,0.10397,-0.0021659,-0.00026019,-0.00082331,-0.032339,24.542,-4.42,-0.50556,0.0085567,-0.010018,-0.63922,-0.0035818,0.00061012,-8.10E-05,-2.95E-05,2.96E-05,-1.19E-05
26.3,0.90952,0.10403,-0.002174,-0.00026311,-0.00082034,-0.03234,24.621,-4.466,-0.51085,0.0085631,-0.010073,-0.64245,-0.0035711,0.00059828,-8.07E-05,-2.92E-05,2.97E-05,-1.05E-05
26.4,0.90916,0.10409,-0.0021821,-0.000266,-0.00081735,-0.032341,24.7,-4.5121,-0.51617,0.0085694,-0.010127,-0.64569,-0.0035604,0.0005866,-8.04E-05,-2.90E-05,2.99E-05,-9.00E-06
26.5,0.90881,0.10414,-0.0021901,-0.00026888,-0.00081435,-0.032342,24.779,-4.5585,-0.52152,0.0085755,-0.010181,-0.64892,-0.0035497,0.00057506,-8.01E-05,-2.87E-05,3.00E-05,-7.57E-06
26.6,0.90845,0.1042,-0.002198,-0.00027173,-0.00081133,-0.032343,24.858,-4.6051,-0.52689,0.0085816,-0.010235,-0.65216,-0.003539,0.00056367,-7.98E-05,-2.85E-05,3.01E-05,-6.15E-06
26.7,0.9081,0.10426,-0.002206,-0.00027455,-0.00080831,-0.032343,24.936,-4.652,-0.53228,0.0085875,-0.010288,-0.65539,-0.0035283,0.00055243,-7.95E-05,-2.82E-05,3.03E-05,-4.76E-06
26.8,0.90775,0.10431,-0.0022139,-0.00027735,-0.00080527,-0.032344,25.015,-4.6991,-0.5377,0.0085933,-0.010342,-0.65863,-0.0035175,0.00054134,-7.92E-05,-2.80E-05,3.04E-05,-3.38E-06
26.9,0.9074,0.10436,-0.0022218,-0.00028012,-0.00080222,-0.032344,25.093,-4.7464,-0.54315,0.0085991,-0.010394,-0.66186,-0.0035068,0.00053038,-7.88E-05,-2.77E-05,3.05E-05,-2.03E-06
27,0.90705,0.10442,-0.0022296,-0.00028287,-0.00079916,-0.032344,25.171,-4.7939,-0.54862,0.0086047,-0.010447,-0.6651,-0.0034961,0.00051957,-7.85E-05,-2.75E-05,3.06E-05,-7.01E-07
27.1,0.9067,0.10447,-0.0022375,-0.0002856,-0.00079609,-0.032344,25.249,-4.8416,-0.55412,0.0086102,-0.010499,-0.66833,-0.0034854,0.0005089,-7.82E-05,-2.73E-05,3.07E-05,6.09E-07
27.2,0.90635,0.10452,-0.0022453,-0.0002883,-0.00079301,-0.032344,25.326,-4.8896,-0.55964,0.0086156,-0.010551,-0.67157,-0.0034746,0.00049837,-7.79E-05,-2.70E-05,3.08E-05,1.90E-06
27.3,0.90601,0.10456,-0.002253,-0.00029098,-0.00078992,-0.032343,25.404,-4.9378,-0.56519,0.0086209,-0.010602,-0.6748,-0.0034639,0.00048797,-7.76E-05,-2.68E-05,3.09E-05,3.17E-06
27.4,0.90566,0.10461,-0.0022607,-0.00029364,-0.00078682,-0.032343,25.481,-4.9863,-0.57077,0.0086261,-0.010653,-0.67804,-0.0034531,0.00047771,-7.73E-05,-2.66E-05,3.10E-05,4.42E-06
27.5,0.90532,0.10466,-0.0022684,-0.00029627,-0.00078372,-0.032342,25.558,-5.0349,-0.57636,0.0086312,-0.010704,-0.68127,-0.0034424,0.00046758,-7.69E-05,-2.63E-05,3.11E-05,5.65E-06
27.6,0.90497,0.10471,-0.0022761,-0.00029888,-0.0007806,-0.032342,25.635,-5.0838,-0.58199,0.0086362,-0.010754,-0.68451,-0.0034317,0.00045759,-7.66E-05,-2.61E-05,3.11E-05,6.86E-06
27.7,0.90463,0.10475,-0.0022837,-0.00030146,-0.00077748,-0.032341,25.712,-5.1329,-0.58764,0.0086411,-0.010804,-0.68774,-0.0034209,0.00044772,-7.63E-05,-2.59E-05,3.12E-05,8.06E-06
27.8,0.90429,0.10479,-0.0022913,-0.00030402,-0.00077436,-0.03234,25.788,-5.1822,-0.59331,0.0086459,-0.010854,-0.69098,-0.0034102,0.00043798,-7.60E-05,-2.56E-05,3.12E-05,9.23E-06
27.9,0.90395,0.10484,-0.0022989,-0.00030656,-0.00077123,-0.032339,25.865,-5.2318,-0.59901,0.0086506,-0.010904,-0.69421,-0.0033995,0.00042837,-7.57E-05,-2.54E-05,3.13E-05,1.04E-05
28,0.90361,0.10488,-0.0023064,-0.00030908,-0.0007681,-0.032338,25.941,-5.2816,-0.60473,0.0086552,-0.010953,-0.69745,-0.0033888,0.00041889,-7.53E-05,-2.52E-05,3.14E-05,1.15E-05
28.1,0.90327,0.10492,-0.0023139,-0.00031157,-0.00076496,-0.032336,26.017,-5.3315,-0.61048,0.0086597,-0.011002,-0.70068,-0.003378,0.00040953,-7.50E-05,-2.49E-05,3.14E-05,1.26E-05
28.2,0.90294,0.10496,-0.0023214,-0.00031404,-0.00076181,-0.032335,26.093,-5.3818,-0.61625,0.0086641,-0.01105,-0.70392,-0.0033673,0.00040029,-7.47E-05,-2.47E-05,3.14E-05,1.37E-05
28.3,0.9026,0.105,-0.0023288,-0.00031649,-0.00075867,-0.032333,26.168,-5.4322,-0.62205,0.0086685,-0.011098,-0.70715,-0.0033566,0.00039117,-7.43E-05,-2.45E-05,3.15E-05,1.48E-05
28.4,0.90227,0.10504,-0.0023362,-0.00031892,-0.00075552,-0.032332,26.244,-5.4828,-0.62787,0.0086727,-0.011146,-0.71038,-0.0033459,0.00038217,-7.40E-05,-2.43E-05,3.15E-05,1.59E-05
28.5,0.90193,0.10507,-0.0023436,-0.00032132,-0.00075236,-0.03233,26.319,-5.5337,-0.63372,0.0086769,-0.011194,-0.71362,-0.0033352,0.0003733,-7.37E-05,-2.40E-05,3.15E-05,1.69E-05
28.6,0.9016,0.10511,-0.0023509,-0.0003237,-0.00074921,-0.032328,26.394,-5.5848,-0.63959,0.0086809,-0.011241,-0.71685,-0.0033245,0.00036453,-7.34E-05,-2.38E-05,3.15E-05,1.80E-05
28.7,0.90127,0.10515,-0.0023582,-0.00032606,-0.00074605,-0.032326,26.469,-5.6361,-0.64548,0.0086849,-0.011288,-0.72009,-0.0033138,0.00035589,-7.30E-05,-2.36E-05,3.16E-05,1.90E-05
28.8,0.90094,0.10518,-0.0023655,-0.0003284,-0.0007429,-0.032324,26.544,-5.6876,-0.6514,0.0086888,-0.011334,-0.72332,-0.0033031,0.00034736,-7.27E-05,-2.34E-05,3.16E-05,2.00E-05
28.9,0.90061,0.10521,-0.0023727,-0.00033071,-0.00073974,-0.032322,26.618,-5.7394,-0.65734,0.0086926,-0.01138,-0.72655,-0.0032924,0.00033894,-7.24E-05,-2.32E-05,3.16E-05,2.10E-05
29,0.90028,0.10525,-0.0023799,-0.00033301,-0.00073658,-0.03232,26.692,-5.7913,-0.66331,0.0086963,-0.011426,-0.72979,-0.0032817,0.00033063,-7.20E-05,-2.29E-05,3.16E-05,2.20E-05
29.1,0.89995,0.10528,-0.0023871,-0.00033528,-0.00073342,-0.032318,26.767,-5.8435,-0.6693,0.0087,-0.011472,-0.73302,-0.0032711,0.00032243,-7.17E-05,-2.27E-05,3.16E-05,2.29E-05
29.2,0.89963,0.10531,-0.0023942,-0.00033753,-0.00073027,-0.032316,26.841,-5.8959,-0.67531,0.0087035,-0.011517,-0.73625,-0.0032604,0.00031434,-7.13E-05,-2.25E-05,3.16E-05,2.38E-05
29.3,0.8993,0.10534,-0.0024013,-0.00033976,-0.00072711,-0.032313,26.914,-5.9485,-0.68135,0.008707,-0.011562,-0.73948,-0.0032498,0.00030636,-7.10E-05,-2.23E-05,3.16E-05,2.48E-05
29.4,0.89898,0.10537,-0.0024084,-0.00034197,-0.00072396,-0.03231,26.988,-6.0013,-0.68741,0.0087104,-0.011607,-0.74271,-0.0032391,0.00029849,-7.07E-05,-2.21E-05,3.15E-05,2.57E-05
29.5,0.89866,0.1054,-0.0024154,-0.00034416,-0.0007208,-0.032308,27.061,-6.0543,-0.69349,0.0087137,-0.011651,-0.74595,-0.0032285,0.00029072,-7.03E-05,-2.19E-05,3.15E-05,2.66E-05
29.6,0.89833,0.10543,-0.0024224,-0.00034633,-0.00071765,-0.032305,27.134,-6.1076,-0.6996,0.0087169,-0.011695,-0.74918,-0.0032179,0.00028305,-7.00E-05,-2.17E-05,3.15E-05,2.74E-05
29.7,0.89801,0.10546,-0.0024294,-0.00034847,-0.00071451,-0.032302,27.207,-6.161,-0.70573,0.0087201,-0.011738,-0.75241,-0.0032073,0.00027549,-6.96E-05,-2.15E-05,3.15E-05,2.83E-05
29.8,0.89769,0.10548,-0.0024363,-0.0003506,-0.00071136,-0.032299,27.28,-6.2147,-0.71189,0.0087232,-0.011782,-0.75564,-0.0031967,0.00026803,-6.93E-05,-2.13E-05,3.15E-05,2.92E-05
29.9,0.89738,0.10551,-0.0024432,-0.0003527,-0.00070822,-0.032296,27.353,-6.2686,-0.71806,0.0087262,-0.011825,-0.75887,-0.0031861,0.00026067,-6.89E-05,-2.11E-05,3.14E-05,3.00E-05
30,0.89706,0.10553,-0.0024501,-0.00035479,-0.00070508,-0.032293,27.425,-6.3227,-0.72426,0.0087291,-0.011867,-0.7621,-0.0031755,0.0002534,-6.86E-05,-2.08E-05,3.14E-05,3.08E-05
30.1,0.89674,0.10556,-0.0024569,-0.00035685,-0.00070195,-0.03229,27.497,-6.377,-0.73049,0.0087319,-0.011909,-0.76533,-0.0031649,0.00024624,-6.83E-05,-2.06E-05,3.13E-05,3.16E-05
30.2,0.89643,0.10558,-0.0024637,-0.0003589,-0.00069882,-0.032287,27.569,-6.4315,-0.73674,0.0087347,-0.011951,-0.76856,-0.0031544,0.00023917,-6.79E-05,-2.04E-05,3.13E-05,3.24E-05
30.3,0.89611,0.10561,-0.0024705,-0.00036092,-0.00069569,-0.032284,27.641,-6.4862,-0.743,0.0087374,-0.011993,-0.77179,-0.0031439,0.0002322,-6.76E-05,-2.02E-05,3.13E-05,3.32E-05
30.4,0.8958,0.10563,-0.0024772,-0.00036292,-0.00069257,-0.03228,27.712,-6.5411,-0.7493,0.0087401,-0.012035,-0.77502,-0.0031333,0.00022532,-6.72E-05,-2.00E-05,3.12E-05,3.40E-05
30.5,0.89549,0.10565,-0.0024839,-0.00036491,-0.00068945,-0.032277,27.784,-6.5962,-0.75561,0.0087426,-0.012076,-0.77825,-0.0031228,0.00021853,-6.69E-05,-1.98E-05,3.12E-05,3.47E-05
30.6,0.89517,0.10567,-0.0024905,-0.00036687,-0.00068634,-0.032273,27.855,-6.6516,-0.76195,0.0087451,-0.012116,-0.78148,-0.0031123,0.00021184,-6.65E-05,-1.97E-05,3.11E-05,3.55E-05
30.7,0.89486,0.10569,-0.0024971,-0.00036882,-0.00068324,-0.03227,27.926,-6.7071,-0.76831,0.0087475,-0.012157,-0.7847,-0.0031018,0.00020523,-6.62E-05,-1.95E-05,3.10E-05,3.62E-05
30.8,0.89456,0.10571,-0.0025037,-0.00037075,-0.00068014,-0.032266,27.997,-6.7629,-0.77469,0.0087499,-0.012197,-0.78793,-0.0030914,0.00019872,-6.58E-05,-1.93E-05,3.10E-05,3.69E-05
30.9,0.89425,0.10573,-0.0025103,-0.00037265,-0.00067705,-0.032262,28.067,-6.8188,-0.7811,0.0087522,-0.012237,-0.79116,-0.0030809,0.00019229,-6.55E-05,-1.91E-05,3.09E-05,3.76E-05
31,0.89394,0.10575,-0.0025168,-0.00037454,-0.00067397,-0.032258,28.138,-6.875,-0.78752,0.0087544,-0.012276,-0.79439,-0.0030704,0.00018596,-6.51E-05,-1.89E-05,3.09E-05,3.83E-05
31.1,0.89363,0.10577,-0.0025233,-0.00037641,-0.00067089,-0.032254,28.208,-6.9313,-0.79397,0.0087566,-0.012315,-0.79761,-0.00306,0.00017971,-6.48E-05,-1.87E-05,3.08E-05,3.90E-05
31.2,0.89333,0.10579,-0.0025297,-0.00037826,-0.00066782,-0.03225,28.278,-6.9879,-0.80044,0.0087586,-0.012354,-0.80084,-0.0030496,0.00017354,-6.44E-05,-1.85E-05,3.07E-05,3.96E-05
31.3,0.89303,0.1058,-0.0025361,-0.00038009,-0.00066475,-0.032246,28.348,-7.0446,-0.80693,0.0087607,-0.012393,-0.80406,-0.0030392,0.00016746,-6.41E-05,-1.83E-05,3.06E-05,4.03E-05
31.4,0.89272,0.10582,-0.0025425,-0.00038191,-0.0006617,-0.032242,28.417,-7.1016,-0.81345,0.0087626,-0.012431,-0.80729,-0.0030288,0.00016146,-6.37E-05,-1.81E-05,3.06E-05,4.09E-05
31.5,0.89242,0.10583,-0.0025488,-0.0003837,-0.00065865,-0.032238,28.487,-7.1588,-0.81999,0.0087645,-0.012469,-0.81052,-0.0030185,0.00015555,-6.34E-05,-1.79E-05,3.05E-05,4.16E-05
31.6,0.89212,0.10585,-0.0025551,-0.00038548,-0.00065561,-0.032234,28.556,-7.2162,-0.82654,0.0087664,-0.012506,-0.81374,-0.0030081,0.00014972,-6.30E-05,-1.78E-05,3.04E-05,4.22E-05
31.7,0.89182,0.10586,-0.0025614,-0.00038724,-0.00065257,-0.03223,28.625,-7.2737,-0.83312,0.0087681,-0.012544,-0.81696,-0.0029978,0.00014396,-6.27E-05,-1.76E-05,3.03E-05,4.28E-05
31.8,0.89152,0.10588,-0.0025676,-0.00038898,-0.00064955,-0.032225,28.694,-7.3315,-0.83972,0.0087698,-0.012581,-0.82019,-0.0029875,0.00013829,-6.23E-05,-1.74E-05,3.02E-05,4.34E-05
31.9,0.89122,0.10589,-0.0025738,-0.0003907,-0.00064654,-0.032221,28.762,-7.3895,-0.84635,0.0087715,-0.012617,-0.82341,-0.0029772,0.00013269,-6.20E-05,-1.72E-05,3.01E-05,4.40E-05
32,0.89093,0.1059,-0.00258,-0.0003924,-0.00064353,-0.032216,28.83,-7.4476,-0.85299,0.0087731,-0.012654,-0.82663,-0.0029669,0.00012718,-6.16E-05,-1.70E-05,3.01E-05,4.46E-05
32.1,0.89063,0.10592,-0.0025861,-0.00039409,-0.00064053,-0.032212,28.899,-7.506,-0.85966,0.0087746,-0.01269,-0.82986,-0.0029566,0.00012174,-6.13E-05,-1.69E-05,3.00E-05,4.51E-05
32.2,0.89034,0.10593,-0.0025922,-0.00039576,-0.00063754,-0.032207,28.966,-7.5645,-0.86634,0.0087761,-0.012726,-0.83308,-0.0029464,0.00011637,-6.09E-05,-1.67E-05,2.99E-05,4.57E-05
32.3,0.89004,0.10594,-0.0025982,-0.00039741,-0.00063457,-0.032203,29.034,-7.6233,-0.87305,0.0087775,-0.012761,-0.8363,-0.0029361,0.00011108,-6.06E-05,-1.65E-05,2.98E-05,4.62E-05
32.4,0.88975,0.10595,-0.0026043,-0.00039904,-0.0006316,-0.032198,29.102,-7.6822,-0.87978,0.0087789,-0.012796,-0.83952,-0.0029259,0.00010587,-6.02E-05,-1.63E-05,2.97E-05,4.68E-05
32.5,0.88946,0.10596,-0.0026102,-0.00040066,-0.00062864,-0.032193,29.169,-7.7414,-0.88653,0.0087802,-0.012831,-0.84274,-0.0029157,0.00010072,-5.99E-05,-1.62E-05,2.96E-05,4.73E-05
32.6,0.88917,0.10597,-0.0026162,-0.00040226,-0.00062569,-0.032189,29.236,-7.8007,-0.8933,0.0087814,-0.012866,-0.84596,-0.0029056,9.57E-05,-5.95E-05,-1.60E-05,2.95E-05,4.78E-05
32.7,0.88888,0.10598,-0.0026221,-0.00040384,-0.00062275,-0.032184,29.303,-7.8602,-0.90009,0.0087826,-0.0129,-0.84918,-0.0028954,9.07E-05,-5.91E-05,-1.58E-05,2.94E-05,4.83E-05
32.8,0.88859,0.10599,-0.002628,-0.00040541,-0.00061983,-0.032179,29.37,-7.92,-0.9069,0.0087838,-0.012934,-0.8524,-0.0028853,8.57E-05,-5.88E-05,-1.57E-05,2.93E-05,4.88E-05
32.9,0.8883,0.10599,-0.0026338,-0.00040695,-0.00061691,-0.032174,29.436,-7.9799,-0.91373,0.0087849,-0.012968,-0.85562,-0.0028752,8.09E-05,-5.84E-05,-1.55E-05,2.92E-05,4.93E-05
33,0.88802,0.106,-0.0026396,-0.00040849,-0.000614,-0.032169,29.502,-8.04,-0.92058,0.0087859,-0.013001,-0.85884,-0.0028651,7.61E-05,-5.81E-05,-1.53E-05,2.91E-05,4.98E-05
33.1,0.88773,0.10601,-0.0026454,-0.00041,-0.00061111,-0.032164,29.568,-8.1003,-0.92746,0.0087869,-0.013034,-0.86205,-0.002855,7.14E-05,-5.77E-05,-1.52E-05,2.90E-05,5.02E-05
33.2,0.88745,0.10602,-0.0026512,-0.0004115,-0.00060822,-0.032159,29.634,-8.1608,-0.93435,0.0087878,-0.013067,-0.86527,-0.002845,6.67E-05,-5.74E-05,-1.50E-05,2.89E-05,5.07E-05
33.3,0.88716,0.10602,-0.0026569,-0.00041299,-0.00060535,-0.032154,29.7,-8.2214,-0.94126,0.0087887,-0.0131,-0.86849,-0.0028349,6.21E-05,-5.70E-05,-1.48E-05,2.87E-05,5.11E-05
33.4,0.88688,0.10603,-0.0026625,-0.00041445,-0.00060248,-0.032149,29.765,-8.2823,-0.94819,0.0087895,-0.013132,-0.8717,-0.0028249,5.76E-05,-5.67E-05,-1.47E-05,2.86E-05,5.16E-05
33.5,0.8866,0.10603,-0.0026682,-0.0004159,-0.00059963,-0.032143,29.83,-8.3434,-0.95515,0.0087903,-0.013164,-0.87492,-0.0028149,5.31E-05,-5.63E-05,-1.45E-05,2.85E-05,5.20E-05
33.6,0.88632,0.10604,-0.0026738,-0.00041734,-0.00059679,-0.032138,29.895,-8.4046,-0.96212,0.008791,-0.013196,-0.87813,-0.0028049,4.87E-05,-5.60E-05,-1.44E-05,2.84E-05,5.24E-05
33.7,0.88604,0.10604,-0.0026793,-0.00041876,-0.00059396,-0.032133,29.96,-8.466,-0.96911,0.0087917,-0.013227,-0.88135,-0.002795,4.44E-05,-5.56E-05,-1.42E-05,2.83E-05,5.29E-05
33.8,0.88576,0.10605,-0.0026849,-0.00042016,-0.00059115,-0.032127,30.025,-8.5276,-0.97612,0.0087923,-0.013258,-0.88456,-0.0027851,4.01E-05,-5.53E-05,-1.40E-05,2.82E-05,5.33E-05
33.9,0.88548,0.10605,-0.0026904,-0.00042155,-0.00058834,-0.032122,30.089,-8.5894,-0.98315,0.0087929,-0.013289,-0.88778,-0.0027751,3.59E-05,-5.49E-05,-1.39E-05,2.80E-05,5.37E-05
34,0.88521,0.10605,-0.0026958,-0.00042292,-0.00058555,-0.032117,30.153,-8.6514,-0.99021,0.0087935,-0.01332,-0.89099,-0.0027653,3.18E-05,-5.46E-05,-1.37E-05,2.79E-05,5.40E-05
