0.2,3.9,-3.3839,-1.068,-0.032578+0.37107i,-0.032578-0.37107i
0.2,4,-3.4005,-1.0647,-0.025885+0.37125i,-0.025885-0.37125i
0.2,4.1,-3.417,-1.0615,-0.01922+0.37131i,-0.01922-0.37131i
0.2,4.2,-3.4334,-1.0584,-0.012584+0.37125i,-0.012584-0.37125i
0.2,4.3,-3.4495,-1.0555,-0.0059754+0.37106i,-0.0059754-0.37106i
0.3,1,-0.23511+0.4038i,-0.23511-0.4038i,-1.2177,-2.829
0.3,1.1,-0.22778+0.40797i,-0.22778-0.40797i,-1.2069,-2.8545
0.3,1.2,-2.8794,-0.22043+0.41193i,-0.22043-0.41193i,-1.1968
0.3,1.3,-2.9037,-0.21307+0.41569i,-0.21307-0.41569i,-1.1872
0.3,1.4,-2.9274,-0.2057+0.41925i,-0.2057-0.41925i,-1.1782
0.3,1.5,-2.9507,-0.19833+0.42261i,-0.19833-0.42261i,-1.1696
0.3,1.6,-2.9735,-0.19096+0.42579i,-0.19096-0.42579i,-1.1616
0.3,1.7,-2.9958,-0.1836+0.42879i,-0.1836-0.42879i,-1.154
0.3,1.8,-3.0177,-0.17625+0.43161i,-0.17625-0.43161i,-1.1468
0.3,1.9,-3.0392,-1.1399,-0.16892+0.43425i,-0.16892-0.43425i
0.3,2,-3.0604,-1.1334,-0.16159+0.43673i,-0.16159-0.43673i
0.3,2.1,-3.0812,-1.1272,-0.15429+0.43904i,-0.15429-0.43904i
0.3,2.2,-3.1016,-1.1213,-0.147+0.4412i,-0.147-0.4412i
0.3,2.3,-3.1218,-1.1157,-0.13974+0.44319i,-0.13974-0.44319i
0.3,2.4,-3.1416,-1.1104,-0.1325+0.44504i,-0.1325-0.44504i
0.3,2.5,-3.1612,-1.1053,-0.12528+0.44674i,-0.12528-0.44674i
0.3,2.6,-3.1804,-1.1004,-0.11809+0.4483i,-0.11809-0.4483i
0.3,2.7,-3.1994,-1.0957,-0.11093+0.44972i,-0.11093-0.44972i
0.3,2.8,-3.2181,-1.0913,-0.10379+0.451i,-0.10379-0.451i
0.3,2.9,-3.2366,-1.087,-0.096686+0.45215i,-0.096686-0.45215i
0.3,3,-3.2549,-1.0829,-0.089611+0.45317i,-0.089611-0.45317i
0.3,3.1,-3.2729,-1.079,-0.082566+0.45407i,-0.082566-0.45407i
0.3,3.2,-3.2907,-1.0752,-0.075552+0.45484i,-0.075552-0.45484i
0.3,3.3,-3.3083,-1.0716,-0.068571+0.45549i,-0.068571-0.45549i
0.3,3.4,-3.3256,-1.0681,-0.061621+0.45602i,-0.061621-0.45602i
0.3,3.5,-3.3428,-1.0648,-0.054704+0.45643i,-0.054704-0.45643i
