2.7,0.99945,0.0067068,-4.8305e-06,0.00040599,2.0035e-06,-0.0056345,2.6997,0.002318,-1.4549e-05,0.0004002,2.8517e-06,-0.004986,0,0,0,0.11781,0,110.97
2.8,0.99937,0.0072474,-5.6899e-06,0.00042671,2.0401e-06,-0.0060188,2.7997,0.0024904,-1.8178e-05,0.00044079,3.2776e-06,-0.0055494,0,0,0,0.12217,0,110.97
2.9,0.99929,0.0078096,-6.6628e-06,0.00044725,2.0468e-06,-0.0064125,2.8996,0.0026605,-2.2528e-05,0.00048346,3.7469e-06,-0.0061513,0,0,0,0.12654,0,110.97
3,0.9992,0.0083936,-7.759e-06,0.00046758,2.0183e-06,-0.0068155,2.9995,0.0028268,-2.7707e-05,0.00052819,4.2616e-06,-0.0067926,0,0,0,0.1309,0,110.97
3.1,0.9991,0.0089991,-8.9886e-06,0.00048768,1.9488e-06,-0.0072276,3.0995,0.0029874,-3.3834e-05,0.00057494,4.8234e-06,-0.0074741,0,0,0,0.13526,0,110.97
3.2,0.99899,0.0096262,-1.0362e-05,0.00050752,1.8318e-06,-0.0076484,3.1994,0.0031406,-4.1043e-05,0.00062371,5.4338e-06,-0.0081969,0,0,0,0.13963,0,110.97
3.3,0.99887,0.010275,-1.189e-05,0.00052709,1.6607e-06,-0.0080777,3.2993,0.0032843,-4.9476e-05,0.00067445,6.094e-06,-0.0089617,0,0,0,0.14399,0,110.97
3.4,0.99874,0.010945,-1.3585e-05,0.00054637,1.4284e-06,-0.0085154,3.3992,0.0034166,-5.9294e-05,0.00072716,6.8049e-06,-0.0097695,0,0,0,0.14835,0,110.97
3.5,0.99861,0.011637,-1.5456e-05,0.00056535,1.1275e-06,-0.0089611,3.499,0.0035354,-7.0667e-05,0.00078179,7.5669e-06,-0.010621,0,0,0,0.15272,0,110.97
3.6,0.99846,0.012349,-1.7517e-05,0.00058401,7.4986e-07,-0.0094148,3.5989,0.0036383,-8.3783e-05,0.00083832,8.3802e-06,-0.011517,0,0,0,0.15708,0,110.97
3.7,0.9983,0.013084,-1.978e-05,0.00060235,2.8725e-07,-0.0098761,3.6988,0.0037233,-9.8844e-05,0.00089671,9.2445e-06,-0.012459,0,0,0,0.16144,0,110.97
3.8,0.99813,0.013839,-2.2256e-05,0.00062037,-2.691e-07,-0.010345,3.7986,0.0037878,-0.00011607,0.00095694,1.0159e-05,-0.013446,0,0,0,0.16581,0,110.97
3.9,0.99795,0.014615,-2.4959e-05,0.00063806,-9.2833e-07,-0.010821,3.8984,0.0038295,-0.00013569,0.001019,1.1122e-05,-0.014481,0,0,0,0.17017,0,110.97
4,0.99776,0.015413,-2.7902e-05,0.00065542,-1.7e-06,-0.011304,3.9982,0.0038459,-0.00015797,0.0010828,1.2132e-05,-0.015563,0,0,0,0.17453,0,110.97
4.1,0.99755,0.016231,-3.1097e-05,0.00067245,-2.594e-06,-0.011794,4.098,0.0038342,-0.00018317,0.0011483,1.3186e-05,-0.016693,0,0,0,0.17453,0,110.97
4.2,0.99734,0.017053,-3.4552e-05,0.00068724,-3.6729e-06,-0.012271,4.1978,0.0037919,-0.00021158,0.0012155,1.428e-05,-0.017873,0,0,0,0.17453,0,110.97
4.3,0.99713,0.017879,-3.8268e-05,0.00069989,-4.9436e-06,-0.012735,4.2975,0.0037145,-0.00024348,0.0012842,1.5405e-05,-0.0191,0,0,0,0.17453,0,110.97
4.4,0.9969,0.018709,-4.2242e-05,0.00071048,-6.4125e-06,-0.013186,4.3973,0.0035977,-0.00027917,0.0013542,1.6546e-05,-0.020373,0,0,0,0.17453,0,110.97
