t(s),u(m/s),v(m/s),w(m/s),p(deg/s),q(deg/s),r(deg/s),X(m),Y(m),Z(m),phi(deg),theta(deg),psi(deg),Del_s(deg),Del_bp(deg),Del_bs(deg),Del_r(deg),Del_delb,n(RPS),ax(m/s2),ay(m/s2),az(m/s2),alphax(deg/s2),alphay(deg/s2),alphaz(deg/s2)
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,111,0,0,0,0,0,0
0.1,1,0.01,2.401e-10,3.935e-10,-1.196e-07,7.729e-11,0.1,0,0,0,0,0,0,0,0,0,0,111,3.062e-06,0.1,2.401e-09,3.935e-09,-1.196e-06,7.729e-10
0.2,1,0.01985,3.204e-08,0.002458,-2.358e-05,-0.001748,0.2,0.001,0,3.935e-11,-1.196e-08,7.729e-12,0,0,0,4.637e-12,0,111,1.564e-05,0.09852,3.18e-07,0.02458,-0.0002347,-0.01748
0.3,1,0.02956,1.18e-07,0.007075,-0.0001143,-0.005208,0.3,0.002985,2.087e-11,0.0002458,-2.37e-06,-0.0001748,0,0,0,-0.0001049,0,111,5.188e-05,0.09706,8.594e-07,0.04617,-0.0009068,-0.03459
0.4,1,0.03912,2.32e-07,0.01356,-0.0003121,-0.01034,0.4,0.005941,-4.861e-09,0.0009533,-1.379e-05,-0.0006956,0,0,0,-0.0004202,0,111,0.0001096,0.0956,1.14e-06,0.06488,-0.001978,-0.0513
0.5,1,0.04853,3.09e-07,0.02165,-0.0006532,-0.0171,0.5,0.009851,-2.827e-08,0.00231,-4.499e-05,-0.001729,0,0,0,-0.001051,0,111,0.0001866,0.09416,7.698e-07,0.08087,-0.003412,-0.06758
0.6,1,0.05781,2.538e-07,0.03108,-0.001171,-0.02544,0.6,0.0147,-9.624e-08,0.004475,-0.0001102,-0.003439,0,0,0,-0.002104,0,111,0.0002809,0.09274,-5.519e-07,0.09427,-0.005173,-0.08342
0.7,1,0.06694,-5.089e-08,0.0416,-0.001894,-0.03532,0.7,0.02048,-2.508e-07,0.007583,-0.0002271,-0.005983,0,0,0,-0.003684,0,111,0.0003907,0.09133,-3.047e-06,0.1053,-0.007231,-0.0988
0.8,1,0.07593,-7.373e-07,0.053,-0.002849,-0.04669,0.8,0.02716,-5.534e-07,0.01174,-0.000416,-0.009514,0,0,0,-0.005895,0,111,0.0005142,0.08993,-6.864e-06,0.114,-0.009556,-0.1137
0.9,1,0.08479,-1.946e-06,0.06506,-0.004061,-0.0595,0.9,0.03474,-1.088e-06,0.01704,-0.0007,-0.01418,0,0,0,-0.008841,0,111,0.0006497,0.08854,-1.209e-05,0.1206,-0.01212,-0.1281
1,1,0.08351,-3.823e-06,0.07758,-0.00555,-0.07369,1,0.04319,-1.965e-06,0.02355,-0.001104,-0.02013,0,0,0,-0.01262,0,111,0.0007955,-0.01283,-1.876e-05,0.1253,-0.01489,-0.142
