t(s),u(m/s),v(m/s),w(m/s),p(deg/s),q(deg/s),r(deg/s),X(m),Y(m),Z(m),phi(deg),theta(deg),psi(deg),Del_s(deg),Del_bp(deg),Del_bs(deg),Del_r(deg),Del_delb,n(RPS),ax(m/s2),ay(m/s2),az(m/s2),alphax(deg/s2),alphay(deg/s2),alphaz(deg/s2)
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,111,0,0,0,0,0,0
0.1,1,3.402e-13,2.401e-10,3.935e-10,-1.196e-07,7.729e-11,0.1,0,0,0,0,0,0,0,0,0,0,111,3.062e-06,3.402e-12,2.401e-09,3.935e-09,-1.196e-06,7.729e-10
0.2,1,5.946e-13,5.061e-10,7.223e-10,-2.321e-07,1.471e-10,0.2,3.402e-14,0,3.935e-11,-1.196e-08,7.729e-12,-3.826e-08,0,0,0,0,111,3.053e-06,2.544e-12,2.66e-09,3.288e-09,-1.126e-06,6.98e-10
0.3,1,7.692e-13,7.98e-10,9.904e-10,-3.377e-07,2.098e-10,0.3,1.07e-13,2.087e-11,1.116e-10,-3.517e-08,2.244e-11,-1.114e-07,0,0,0,0,111,3.044e-06,1.746e-12,2.919e-09,2.681e-09,-1.056e-06,6.268e-10
0.4,1,8.7e-13,1.116e-09,1.202e-09,-4.364e-07,2.657e-10,0.4,2.231e-13,8.225e-11,2.106e-10,-6.894e-08,4.341e-11,-2.163e-07,0,0,0,0,111,3.035e-06,1.008e-12,3.176e-09,2.113e-09,-9.868e-07,5.591e-10
0.5,1,9.028e-13,1.458e-09,1.36e-09,-5.282e-07,3.152e-10,0.5,3.858e-13,2.026e-10,3.308e-10,-1.126e-07,6.998e-11,-3.498e-07,0,0,0,0,111,3.025e-06,3.288e-13,3.428e-09,1.587e-09,-9.186e-07,4.951e-10
0.6,1,8.737e-13,1.826e-09,1.471e-09,-6.134e-07,3.586e-10,0.6,5.982e-13,3.99e-10,4.668e-10,-1.654e-07,1.015e-10,-5.089e-07,0,0,0,0,111,3.016e-06,-2.915e-13,3.674e-09,1.102e-09,-8.515e-07,4.346e-10
0.7,1,7.883e-13,2.217e-09,1.537e-09,-6.92e-07,3.964e-10,0.7,8.628e-13,6.877e-10,6.139e-10,-2.267e-07,1.374e-10,-6.908e-07,0,0,0,0,111,3.007e-06,-8.543e-13,3.913e-09,6.608e-10,-7.857e-07,3.774e-10
0.8,1,6.522e-13,2.631e-09,1.563e-09,-7.641e-07,4.288e-10,0.8,1.181e-12,1.083e-09,7.675e-10,-2.959e-07,1.77e-10,-8.927e-07,0,0,0,0,111,2.998e-06,-1.361e-12,4.143e-09,2.615e-10,-7.212e-07,3.237e-10
0.9,1,4.709e-13,3.068e-09,1.553e-09,-8.299e-07,4.561e-10,0.9,1.555e-12,1.6e-09,9.238e-10,-3.723e-07,2.199e-10,-1.112e-06,0,0,0,0,111,2.989e-06,-1.813e-12,4.364e-09,-9.593e-11,-6.583e-07,2.732e-10
1,1,2.497e-13,3.525e-09,1.512e-09,-8.896e-07,4.787e-10,1,1.986e-12,2.25e-09,1.079e-09,-4.553e-07,2.655e-10,-1.347e-06,0,0,0,0,111,2.98e-06,-2.212e-12,4.574e-09,-4.124e-10,-5.97e-07,2.258e-10
