,,
34.624,-42.243,0.84483
34.635,-42.236,0.8497
34.646,-42.229,0.85365
34.657,-42.221,0.85666
34.669,-42.213,0.8587
34.68,-42.206,0.85979
34.692,-42.198,0.8599
34.704,-42.19,0.85902
34.715,-42.183,0.85719
34.726,-42.175,0.85439
34.738,-42.168,0.85065
34.749,-42.16,0.84598
34.759,-42.153,0.84039
34.77,-42.147,0.83394
34.78,-42.14,0.82663
34.789,-42.134,0.81851
34.798,-42.128,0.80962
34.807,-42.123,0.8
34.815,-42.117,0.7897
34.822,-42.113,0.77877
34.829,-42.109,0.76725
34.835,-42.105,0.75522
34.84,-42.102,0.74272
34.844,-42.099,0.72982
34.848,-42.096,0.71658
34.851,-42.095,0.70306
34.853,-42.093,0.68933
34.855,-42.093,0.67546
34.855,-42.093,0.66152
34.855,-42.093,0.64756
34.854,-42.094,0.63367
34.852,-42.095,0.61991
34.85,-42.097,0.60634
34.846,-42.1,0.59303
34.842,-42.103,0.58005
34.837,-42.106,0.56746
34.832,-42.11,0.55532
34.825,-42.115,0.54368
34.818,-42.119,0.53262
34.811,-42.125,0.52218
34.803,-42.13,0.5124
34.794,-42.136,0.50335
34.784,-42.143,0.49505
34.775,-42.149,0.48757
34.765,-42.156,0.48092
34.754,-42.163,0.47515
34.743,-42.171,0.47028
34.732,-42.178,0.46632
34.721,-42.186,0.46332
34.709,-42.193,0.46127
34.698,-42.201,0.46019
34.686,-42.209,0.46008
34.674,-42.217,0.46096
34.663,-42.224,0.46279
34.652,-42.232,0.46559
34.64,-42.239,0.46933
34.629,-42.246,0.474
34.619,-42.253,0.47958
34.608,-42.26,0.48604
34.598,-42.267,0.49335
34.589,-42.273,0.50147
34.58,-42.279,0.51036
34.571,-42.284,0.51998
34.563,-42.289,0.53028
34.556,-42.294,0.54121
34.549,-42.298,0.55273
34.543,-42.302,0.56476
34.538,-42.305,0.57726
34.534,-42.308,0.59016
34.53,-42.31,0.6034
34.527,-42.312,0.61692
34.525,-42.313,0.63065
34.523,-42.314,0.64452
34.523,-42.314,0.65846
34.412,-42.148,0.65557
34.412,-42.147,0.66953
34.413,-42.146,0.68342
34.415,-42.145,0.69718
34.417,-42.143,0.71075
34.421,-42.141,0.72406
34.425,-42.138,0.73704
34.43,-42.134,0.74963
34.435,-42.13,0.76177
34.442,-42.126,0.77341
34.449,-42.121,0.78447
34.456,-42.116,0.79491
34.465,-42.11,0.80469
34.473,-42.104,0.81374
34.483,-42.098,0.82203
34.492,-42.091,0.82952
34.503,-42.084,0.83617
34.513,-42.077,0.84194
34.524,-42.07,0.84681
34.535,-42.062,0.85076
34.546,-42.055,0.85377
34.558,-42.047,0.85581
34.57,-42.039,0.8569
34.581,-42.031,0.85701
34.593,-42.024,0.85613
34.604,-42.016,0.8543
34.616,-42.009,0.8515
34.627,-42.001,0.84776
34.638,-41.994,0.84309
34.649,-41.987,0.8375
34.659,-41.98,0.83105
34.669,-41.974,0.82374
34.678,-41.967,0.81562
34.687,-41.962,0.80673
34.696,-41.956,0.79711
34.704,-41.951,0.78681
34.711,-41.946,0.77588
34.718,-41.942,0.76436
34.724,-41.938,0.75233
34.729,-41.935,0.73983
34.734,-41.932,0.72693
34.737,-41.93,0.71369
34.74,-41.928,0.70017
34.743,-41.927,0.68644
34.744,-41.926,0.67257
34.745,-41.926,0.65863
34.744,-41.926,0.64467
34.743,-41.927,0.63078
34.742,-41.929,0.61702
