t(s),u(m/s),v(m/s),w(m/s),p(deg/s),q(deg/s),r(deg/s),X(m),Y(m),Z(m),phi(deg),theta(deg),psi(deg),Del_s(deg),Del_bp(deg),Del_bs(deg),Del_r(deg),Del_delb,n(RPS),ax(m/s2),ay(m/s2),az(m/s2),alphax(deg/s2),alphay(deg/s2),alphaz(deg/s2)
0.21,1,4.4505e-13,4.1386e-10,9.6788e-12,-3.1946e-09,2.0064e-12,0.16,4.346e-14,1.1465e-11,7.6235e-13,-2.4365e-10,1.5472e-13,0,0,0,0,0,110.97,0,0,0,0,0,0
0.22,1,4.6613e-13,4.4172e-10,1.0195e-11,-3.3843e-09,2.1214e-12,0.17,4.9458e-14,1.3902e-11,8.5914e-13,-2.7559e-10,1.7478e-13,0,0,0,0,0,110.97,3.0475e-06,2.1077e-12,2.7863e-09,5.1587e-11,-1.8966e-08,1.1503e-11
0.23,1,4.8645e-13,4.6981e-10,1.0701e-11,-3.5728e-09,2.2353e-12,0.18,5.5867e-14,1.6658e-11,9.6109e-13,-3.0944e-10,1.9599e-13,0,0,0,0,0,110.97,3.0465e-06,2.0323e-12,2.8083e-09,5.0587e-11,-1.8851e-08,1.1386e-11
0.24,1,5.0602e-13,4.9811e-10,1.1197e-11,-3.7602e-09,2.348e-12,0.19,6.2691e-14,1.9752e-11,1.0681e-12,-3.4516e-10,2.1835e-13,0,0,0,0,0,110.97,3.0456e-06,1.9574e-12,2.8301e-09,4.9596e-11,-1.8737e-08,1.127e-11
0.25,1,5.0602e-13,4.9811e-10,1.1197e-11,-3.7602e-09,2.348e-12,0.19,6.2691e-14,1.9752e-11,1.0681e-12,-3.4516e-10,2.1835e-13,0,0,0,0,0,110.97,0,0,0,0,0,0
0.26,1,5.2485e-13,5.2662e-10,1.1683e-11,-3.9464e-09,2.4595e-12,0.2,6.9935e-14,2.3204e-11,1.1801e-12,-3.8277e-10,2.4183e-13,0,0,0,0,0,110.97,3.0447e-06,1.8833e-12,2.8517e-09,4.8612e-11,-1.8623e-08,1.1155e-11
0.27,1,5.4295e-13,5.5535e-10,1.2159e-11,-4.1315e-09,2.5699e-12,0.21,7.7602e-14,2.7031e-11,1.2969e-12,-4.2223e-10,2.6642e-13,0,0,0,0,0,110.97,3.0438e-06,1.8097e-12,2.8731e-09,4.7635e-11,-1.8509e-08,1.104e-11
0.28,1,5.6032e-13,5.843e-10,1.2626e-11,-4.3154e-09,2.6792e-12,0.22,8.5695e-14,3.1254e-11,1.4185e-12,-4.6354e-10,2.9212e-13,0,0,0,0,0,110.97,3.0429e-06,1.7368e-12,2.8942e-09,4.6667e-11,-1.8396e-08,1.0926e-11
0.29,1,5.6032e-13,5.843e-10,1.2626e-11,-4.3154e-09,2.6792e-12,0.22,8.5695e-14,3.1254e-11,1.4185e-12,-4.6354e-10,2.9212e-13,0,0,0,0,0,110.97,0,0,0,0,0,0
0.3,1,5.7696e-13,6.1345e-10,1.3083e-11,-4.4983e-09,2.7873e-12,0.23,9.422e-14,3.5889e-11,1.5447e-12,-5.067e-10,3.1891e-13,0,0,0,0,0,110.97,3.0419e-06,1.6644e-12,2.9151e-09,4.5707e-11,-1.8283e-08,1.0814e-11
0.31,1,5.9289e-13,6.4281e-10,1.353e-11,-4.68e-09,2.8943e-12,0.24,1.0318e-13,4.0956e-11,1.6756e-12,-5.5168e-10,3.4679e-13,0,0,0,0,0,110.97,3.041e-06,1.5927e-12,2.9358e-09,4.4755e-11,-1.8171e-08,1.0701e-11
0.32,1,6.0811e-13,6.7237e-10,1.3968e-11,-4.8606e-09,3.0002e-12,0.25,1.1258e-13,4.6473e-11,1.8109e-12,-5.9848e-10,3.7573e-13,0,0,0,0,0,110.97,3.0401e-06,1.5216e-12,2.9563e-09,4.381e-11,-1.8059e-08,1.059e-11
