t(s),u(m/s),v(m/s),w(m/s),p(deg/s),q(deg/s),r(deg/s),X(m),Y(m),Z(m),phi(deg),theta(deg),psi(deg),Del_s(deg),Del_bp(deg),Del_bs(deg),Del_r(deg),Del_delb,n(RPS),ax(m/s2),ay(m/s2),az(m/s2),alphax(deg/s2),alphay(deg/s2),alphaz(deg/s2)
0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,203.6,0,0,0,0,0,0
0.1,1.999,-7.005e-10,-4.943e-07,-8.101e-07,0.0002462,-1.591e-07,0.2,0,0,0,0,0,0,0,0,0.25,0,203.6,-0.006305,-7.005e-09,-4.943e-06,-8.101e-06,0.002462,-1.591e-06
0.2,1.999,6.56e-05,-1.098e-06,0.0004387,0.0004647,-0.004589,0.3999,-7.005e-11,0,-8.101e-08,2.462e-05,-1.591e-08,0,0,0,0.5,0,203.6,-0.00627,0.000656,-6.037e-06,0.004396,0.002186,-0.04589
0.3,1.998,0.0002004,-1.792e-06,0.001281,0.0006584,-0.0135,0.5998,6.56e-06,-8.588e-08,4.379e-05,7.109e-05,-0.0004589,0,0,0,0.75,0,203.6,-0.006239,0.001348,-6.94e-06,0.008427,0.001937,-0.08908
0.4,1.997,0.0004077,-2.561e-06,0.002495,0.0008298,-0.02647,0.7996,2.5e-05,-3.34e-07,0.0001719,0.0001369,-0.001809,0,0,0,1,0,203.6,-0.006215,0.002073,-7.687e-06,0.01213,0.001714,-0.1298
0.5,1.997,0.0006902,-3.392e-06,0.00405,0.0009811,-0.04329,0.9994,5.947e-05,-8.126e-07,0.0004214,0.0002199,-0.004456,0,0,0,1.25,0,203.6,-0.006198,0.002825,-8.314e-06,0.01555,0.001513,-0.1681
0.6,1.996,0.00105,-4.279e-06,0.005922,0.001115,-0.06371,1.199,0.000113,-1.584e-06,0.0008264,0.0003181,-0.008785,0,0,0,1.5,0,203.6,-0.006189,0.003601,-8.864e-06,0.01872,0.001334,-0.2043
0.7,1.996,0.00149,-5.217e-06,0.008088,0.001232,-0.08755,1.399,0.0001874,-2.709e-06,0.001419,0.0004296,-0.01516,0,0,0,1.75,0,203.6,-0.006189,0.004397,-9.381e-06,0.02166,0.001174,-0.2384
0.8,1.995,0.002011,-6.208e-06,0.01053,0.001335,-0.1146,1.598,0.0002836,-4.245e-06,0.002227,0.000553,-0.02391,0,0,0,2,0,203.6,-0.0062,0.005211,-9.913e-06,0.0244,0.00103,-0.2706
0.9,1.994,0.002615,-7.259e-06,0.01322,0.001425,-0.1447,1.798,0.0004014,-6.254e-06,0.00328,0.000687,-0.03537,0,0,0,2.25,0,203.6,-0.006221,0.00604,-1.051e-05,0.02695,0.0009007,-0.3011
1,1.994,0.003303,-8.38e-06,0.01615,0.001503,-0.1777,1.997,0.0005398,-8.807e-06,0.004602,0.0008303,-0.04985,0,0,0,2.5,0,203.6,-0.006255,0.00688,-1.121e-05,0.02932,0.0007825,-0.3299
