0.2,9,-4.5778,-4.5778,-1.3934,-0.0003413+0.42079i,-0.0003413-0.42079i
0.1,9.1,-4.5755,-4.5755,-1.3878,-0.0043172+0.29819i,-0.0043172-0.29819i
0.4,8.7,-4.568,-4.568,-1.4016,-0.0011685+0.59398i,-0.0011685-0.59398i
0.3,8.8,-4.5657,-4.5657,-1.3968,-0.0047557+0.5154i,-0.0047557-0.5154i
0.2,8.9,-4.5633,-4.5633,-1.3915,-0.0085819+0.42167i,-0.0085819-0.42167i
0.1,9,-4.561,-4.561,-1.3856,-0.012687+0.29866i,-0.012687-0.29866i
0.6,8.4,-4.5582,-4.5582,-1.4088,-0.0024901+0.72641i,-0.0024901-0.72641i
0.5,8.5,-4.5559,-4.5559,-1.4045,-0.0057777+0.66426i,-0.0057777-0.66426i
0.4,8.6,-4.5535,-4.5535,-1.3999,-0.0092551+0.59521i,-0.0092551-0.59521i
0.3,8.7,-4.5511,-4.5511,-1.3949,-0.01295+0.51643i,-0.01295-0.51643i
0.9,8,-4.5509,-4.5509,-1.4185,-0.00128+0.88733i,-0.00128-0.88733i
0.2,8.8,-4.5487,-4.5487,-1.3895,-0.016896+0.4224i,-0.016896-0.4224i
0.8,8.1,-4.5486,-4.5486,-1.415,-0.0041927+0.83781i,-0.0041927-0.83781i
0.1,8.9,-4.5463,-4.5463,-1.3834,-0.021135+0.29891i,-0.021135-0.29891i
0.7,8.2,-4.5462,-4.5462,-1.4113,-0.0072435+0.78491i,-0.0072435-0.78491i
0.6,8.3,-4.5438,-4.5438,-1.4073,-0.010449+0.72787i,-0.010449-0.72787i
1.2,7.6,-4.5438,-4.5438,-1.4266,-0.00081302+1.0225i,-0.00081302-1.0225i
1.1,7.7,-4.5414,-4.5414,-1.4236,-0.0034511+0.98021i,-0.0034511-0.98021i
0.5,8.4,-4.5414,-4.5414,-1.4029,-0.013829+0.66558i,-0.013829-0.66558i
1,7.8,-4.539,-4.539,-1.4205,-0.0061946+0.93584i,-0.0061946-0.93584i
0.4,8.5,-4.5389,-4.5389,-1.3982,-0.017408+0.59635i,-0.017408-0.59635i
1.5,7.2,-4.5368,-4.5368,-1.4334,-0.00088889+1.1413i,-0.00088889-1.1413i
0.9,7.9,-4.5366,-4.5366,-1.4172,-0.0090543+0.88907i,-0.0090543-0.88907i
0.3,8.6,-4.5365,-4.5365,-1.3931,-0.021214+0.51734i,-0.021214-0.51734i
1.4,7.3,-4.5344,-4.5344,-1.4309,-0.0033181+1.1039i,-0.0033181-1.1039i
0.8,8,-4.5342,-4.5342,-1.4137,-0.012043+0.83945i,-0.012043-0.83945i
0.2,8.7,-4.534,-4.534,-1.3874,-0.025285+0.42298i,-0.025285-0.42298i
1.3,7.4,-4.532,-4.532,-1.4283,-0.0058308+1.065i,-0.0058308-1.065i
0.7,8.1,-4.5317,-4.5317,-1.4099,-0.015175+0.78645i,-0.015175-0.78645i
0.1,8.8,-4.5315,-4.5315,-1.3811,-0.029666+0.29892i,-0.029666-0.29892i
1.8,6.8,-4.5299,-4.5299,-1.4393,-0.0013721+1.2486i,-0.0013721-1.2486i
1.2,7.5,-4.5296,-4.5296,-1.4255,-0.0084344+1.0244i,-0.0084344-1.0244i
0.6,8.2,-4.5293,-4.5293,-1.4057,-0.018468+0.72927i,-0.018468-0.72927i
1.7,6.9,-4.5275,-4.5275,-1.4372,-0.0036379+1.2147i,-0.0036379-1.2147i
1.1,7.6,-4.5271,-4.5271,-1.4225,-0.011137+0.98208i,-0.011137-0.98208i
0.5,8.3,-4.5268,-4.5268,-1.4013,-0.021944+0.66683i,-0.021944-0.66683i
2.2,6.3,-4.5255,-4.5255,-1.4463,-8.5137e-05+1.3777i,-8.5137e-05-1.3777i
1.6,7,-4.5251,-4.5251,-1.4349,-0.0059717+1.1796i,-0.0059717-1.1796i
1,7.7,-4.5247,-4.5247,-1.4194,-0.01395+0.93763i,-0.01395-0.93763i
0.4,8.4,-4.5243,-4.5243,-1.3964,-0.025628+0.59741i,-0.025628-0.59741i
2.1,6.4,-4.5231,-4.5231,-1.4445,-0.0021669+1.3473i,-0.0021669-1.3473i
1.5,7.1,-4.5227,-4.5227,-1.4325,-0.0083789+1.1434i,-0.0083789-1.1434i
0.9,7.8,-4.5222,-4.5222,-1.416,-0.016883+0.89076i,-0.016883-0.89076i
0.3,8.5,-4.5218,-4.5218,-1.3911,-0.02955+0.51814i,-0.02955-0.51814i
2,6.5,-4.5207,-4.5207,-1.4426,-0.0043018+1.316i,-0.0043018-1.316i
1.4,7.2,-4.5202,-4.5202,-1.43,-0.010865+1.1059i,-0.010865-1.1059i
0.8,7.9,-4.5197,-4.5197,-1.4123,-0.019949+0.84105i,-0.019949-0.84105i
0.2,8.6,-4.5192,-4.5192,-1.3852,-0.033751+0.42341i,-0.033751-0.42341i
2.5,5.9,-4.5188,-4.5188,-1.4507,-0.0012208+1.4676i,-0.0012208-1.4676i
1.9,6.6,-4.5183,-4.5183,-1.4406,-0.0064934+1.2839i,-0.0064934-1.2839i
1.3,7.3,-4.5178,-4.5178,-1.4273,-0.013438+1.0669i,-0.013438-1.0669i
0.7,8,-4.5172,-4.5172,-1.4084,-0.023166+0.78792i,-0.023166-0.78792i
0.1,8.7,-4.5166,-4.5166,-1.3788,-0.03828+0.2987i,-0.03828-0.2987i
2.4,6,-4.5165,-4.5165,-1.4491,-0.0032033+1.4391i,-0.0032033-1.4391i
1.8,6.7,-4.5159,-4.5159,-1.4386,-0.0087458+1.2509i,-0.0087458-1.2509i
1.2,7.4,-4.5153,-4.5153,-1.4244,-0.016105+1.0263i,-0.016105-1.0263i
2.9,5.4,-4.5147,-4.5147,-1.4559,-0.00066715+1.5785i,-0.00066715-1.5785i
0.6,8.1,-4.5147,-4.5147,-1.4042,-0.02655+0.73061i,-0.02655-0.73061i
2.3,6.1,-4.5141,-4.5141,-1.4474,-0.0052314+1.4099i,-0.0052314-1.4099i
1.7,6.8,-4.5135,-4.5135,-1.4364,-0.011063+1.2169i,-0.011063-1.2169i
1.1,7.5,-4.5128,-4.5128,-1.4214,-0.018875+0.98391i,-0.018875-0.98391i
2.8,5.5,-4.5123,-4.5123,-1.4546,-0.0025293+1.5522i,-0.0025293-1.5522i
0.5,8.2,-4.5121,-4.5121,-1.3996,-0.030125+0.668i,-0.030125-0.668i
2.2,6.2,-4.5117,-4.5117,-1.4456,-0.0073077+1.3801i,-0.0073077-1.3801i
1.6,6.9,-4.511,-4.511,-1.434,-0.013451+1.1818i,-0.013451-1.1818i
3.3,4.9,-4.5107,-4.5107,-1.4605,-0.00041286+1.6819i,-0.00041286-1.6819i
1,7.6,-4.5103,-4.5103,-1.4181,-0.021758+0.93938i,-0.021758-0.93938i
2.7,5.6,-4.51,-4.51,-1.4531,-0.0044291+1.5253i,-0.0044291-1.5253i
0.4,8.3,-4.5095,-4.5095,-1.3946,-0.033917+0.59837i,-0.033917-0.59837i
2.1,6.3,-4.5093,-4.5093,-1.4438,-0.0094354+1.3496i,-0.0094354-1.3496i
1.5,7,-4.5085,-4.5085,-1.4316,-0.015914+1.1455i,-0.015914-1.1455i
3.2,5,-4.5083,-4.5083,-1.4593,-0.0021777+1.6574i,-0.0021777-1.6574i
0.9,7.7,-4.5078,-4.5078,-1.4147,-0.024766+0.89242i,-0.024766-0.89242i
2.6,5.7,-4.5076,-4.5076,-1.4516,-0.0063686+1.498i,-0.0063686-1.498i
0.3,8.4,-4.5069,-4.5069,-1.3891,-0.037961+0.51882i,-0.037961-0.51882i
2,6.4,-4.5068,-4.5068,-1.4419,-0.011618+1.3183i,-0.011618-1.3183i
3.7,4.4,-4.5067,-4.5067,-0.0003906+1.7793i,-0.0003906-1.7793i,-1.4645
1.4,7.1,-4.506,-4.506,-1.429,-0.01846+1.1079i,-0.01846-1.1079i
3.1,5.1,-4.506,-4.506,-1.458,-0.0039743+1.6324i,-0.0039743-1.6324i
0.8,7.8,-4.5052,-4.5052,-1.4109,-0.027914+0.84259i,-0.027914-0.84259i
2.5,5.8,-4.5052,-4.5052,-1.4501,-0.0083498+1.4701i,-0.0083498-1.4701i
3.6,4.5,-4.5044,-4.5044,-1.4634,-0.0020749+1.7562i,-0.0020749-1.7562i
1.9,6.5,-4.5044,-4.5044,-1.4399,-0.013859+1.2862i,-0.013859-1.2862i
0.2,8.5,-4.5043,-4.5043,-1.383,-0.042298+0.42369i,-0.042298-0.42369i
3,5.2,-4.5036,-4.5036,-1.4568,-0.0058042+1.607i,-0.0058042-1.607i
1.3,7.2,-4.5035,-4.5035,-1.4263,-0.021094+1.0689i,-0.021094-1.0689i
4.1,3.9,-4.5029,-4.5029,-0.00055037+1.8716i,-0.00055037-1.8716i,-1.468
2.4,5.9,-4.5028,-4.5028,-1.4484,-0.010375+1.4415i,-0.010375-1.4415i
0.7,7.9,-4.5026,-4.5026,-1.4069,-0.031217+0.78934i,-0.031217-0.78934i
3.5,4.6,-4.5021,-4.5021,-1.4623,-0.0037867+1.7327i,-0.0037867-1.7327i
1.8,6.6,-4.5019,-4.5019,-1.4378,-0.016162+1.2531i,-0.016162-1.2531i
0.1,8.6,-4.5017,-4.5017,-1.3763,-0.046983+0.29823i,-0.046983-0.29823i
2.9,5.3,-4.5012,-4.5012,-1.4554,-0.0076691+1.5811i,-0.0076691-1.5811i
1.2,7.3,-4.501,-4.501,-1.4233,-0.023826+1.0282i,-0.023826-1.0282i
4,4,-4.5006,-4.5006,-0.002167+1.8497i,-0.002167-1.8497i,-1.467
2.3,6,-4.5003,-4.5003,-1.4467,-0.012447+1.4124i,-0.012447-1.4124i
0.6,8,-4.5,-4.5,-1.4026,-0.034695+0.73188i,-0.034695-0.73188i
3.4,4.7,-4.4997,-4.4997,-1.4612,-0.0055271+1.7089i,-0.0055271-1.7089i
1.7,6.7,-4.4994,-4.4994,-1.4355,-0.018533+1.219i,-0.018533-1.219i
4.5,3.4,-4.4991,-4.4991,-0.00085424+1.9595i,-0.00085424-1.9595i,-1.4711
2.8,5.4,-4.4988,-4.4988,-1.454,-0.0095707+1.5547i,-0.0095707-1.5547i
1.1,7.4,-4.4984,-4.4984,-1.4202,-0.026665+0.98571i,-0.026665-0.98571i
